,index,english,translated_from_finnish,translated_from_dutch
446,52022,Terrific!,Mahtavaa! | Upeaa! | Upeeta!,Fantastic! | Cool! | Brilliant! | Wonderful! | Good! | That's great! | Well done! | What a great! | So good! | Good. | Great! | That's great! | Excellent! | Very good! | Wonderful!
447,52027,Wow!,Mahtavaa! | Siistiä! | Vau!,That's not crazy!
448,52081,I'm coming.,Jsem tulossa. | Já olen tulossa. | Tulen. | Já tulen.,I'm coming. | I'm coming.
449,53465,Study hard.,Opiskele ahkerasti.,Study hard.
450,54201,Here comes the bus.,Siinä tulee bussi.,Here comes the bus.
451,54223,Come along.,"""நம்முடன் வரவும், நம்முடன் வரவும், நம்முடன் வரவும், நம்முடன் வரவும்.",Come with me.
452,54331,Ladies first.,නයිසෙට් ඉස්සෙල්ලා.,Ladies first. | Ladies for everything! | Ladies go for it.
453,54468,I wish you good luck.,"""உங்களுடைய நற்செயல்களை நிறைவேற்றிக் கொள்வீராக! | உங்கள் நற்செயல்களை நிறைவேற்றுவீராக!",I wish you luck. | I wish you luck.
454,54604,"Hello, Tom.","Hej, Tome! | Terve, Tome! | Moi, Tome.","Hello, Tom."
455,54868,It's true.,Totta న చూడండి.,It's true.
456,55087,Whose books are these?,Kenen kirjoja nämä ovat?,Who are these books? | Who are these books?
457,55437,This is their house.,Tohle je na jejich talonsa. | Tohle je na jejich kotinsa.,This is their house.
458,55514,Whose room is this?,Kenen huone tämä on?,Is this Vienna's room?
459,55519,Whose umbrella is this?,Kenen tämä sateenvarjo on?,Is this Vienna's parasol?
460,55521,Whose pencil is this?,Kenen lyijykynä tämä on? | Kenen kynä tämä on?,This is Vienna's pencil?
461,55535,This is too big.,ഇത് വളരെ വലുതാണ്.,This is too big.
462,55738,This is a dog.,මේක බල්ලා මත.,This is a dog.
463,55749,Is this your bicycle?,Ar tai polkupyöräsi? | Ar tai Bikesi? | Ar tai Your Bikesi?,Is this your bike? | Is this your bike?
464,55767,I don't like this.,"”“我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个,我不喜欢这个。",I don't like this. | I don't like this.
465,55984,Is this your umbrella?,Ar tai tavo sateenvarjosi? | Ar tai tavo sateenvarjosi?,Is this your umbrella? | Is this your umbrella?
466,56634,What do you call this vegetable in English?,ولې دا د انګليسي ژبې خبرې اترې ولې دي؟,What is the name of this vegetable in English?
467,56910,This book is new.,இது ஒரு புதிய பதிப்பு.,This book is new.
468,57974,I don't understand this word.,En ymmärrä tätä sanaa.,I don't understand this word.
469,59199,Don't throw away this magazine.,ඒ අයව මේ පැත්තෙන් අරගෙන යන්න.,Don't throw away this magazine.
470,60560,This program cannot be run in DOS mode.,Este programaa ei voi llevar a cabo DOS-tilassa.,This program cannot be run in DOS mode.
471,60676,Does this bus go to the beach?,ഈ ബിസ്സി ബാറണ്ടെല്ലെ?,Is this bus going to the beach?
472,60758,The knife is not sharp.,Veitsi ei ole terävä.,The knife is not sharp.
473,61484,This is my daughter.,Dies on tyttäreni. | Tässä on minun tyttäreni.,This is my daughter.
474,61614,This is a hospital.,ഇത് ഹോസ്പിറ്റലിൽ ആണ്.,Here's a hospital. | This is a hospital.
475,61875,Please wait here.,"Odota tässä, ole hyvä.","Wait here, please. | Wait here, please."
476,62110,Where is the nearest subway station?,Missä na lähin metroasema?,Where's the nearest subway station?
477,62608,Nobody was injured.,Kukaan ei loukkaantunut.,No one was hurt. | No one was hurt. | No one was hurt. | No one was hurt.
478,63119,Today is Sunday.,ഇന്ന് ഞായറാഴ്ച.,It's Sunday today. | It's Sunday today.
479,63212,Do you believe in ghosts?,Uskotko aaveisiin?,Do you believe in talking? | Do you believe in minds?
480,63215,You make me happy.,Sinä teet minut iloiseksi. | Sinä teet minut glücklicheksi.,You make me happy.
481,63218,You look tired.,පේන විදිහට මහන්සිneeltä.,You look tired. | You look tired.
482,63296,I caught three fish yesterday.,Sain eilen kiinni kolme kalaa.,I caught three fish yesterday. | I caught three fish yesterday.
483,63324,A fox is a wild animal.,Kettu auf villieläin.,A fowl is a wild animal.
484,63615,It's pretty cold.,നല്ല തണുപ്പുണ്ട്.,It's pretty cold.
485,63631,Canada is larger than Japan.,Kanada na większej niż japoński.,Canada is larger than Japan.
486,63957,Is your mother at home?,අම්මා ගෙදර ඉන්නවද?,Is your mother home? | Is your mother home? | Is your mother home?
487,64241,Your dog is very big.,コイラシは本当にイソ。,Your dog's very big.
488,64257,Take care of yourself.,| Pidä huolta itsestäsi.,Take care of yourself. | Keep your seat. | You're doing okay.
489,64332,You are drunk!,"""உங்களுடைய தெய்வங்கள் யாவும் (அல்லாஹ்வின்) தூதர்கள் ஆவார்கள்"" (என்று கூறப்படும்).",You're drunk!
490,64491,Behave yourself.,Käyttäydy.,Behave.
491,64496,Watch yourself.,Ole varovainen.,Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful.
492,64505,Sit wherever you like.,Istu missä haluat. | Istu missä haluat.,Sit wherever you want to. | Sit wherever you want to.
493,64620,I want money.,Já chci rahaa. | Haluan rahaa.,I want money.
494,64693,Welcome home.,Vítejte doma.,Welcome home.
495,64918,"Good morning, Mike.","Huomenta, Mike.","Good morning, Mike."
496,65501,My family goes skiing every winter.,Perheeni යනවා hiihtämään joka talvi.,My family goes skiing every winter.
497,65909,It's too late now.,Na příliš myöhäistä nyt.,It's too late now.
498,65918,I am coming.,Tulen. | Já tulen. | Olen tulossa. | Já olen tulossa.,I'm coming. | I'm coming.
499,66043,When did you get back from London?,Milloin palasit Londonsta?,When did you come back from London?
500,66664,Jesus wept.,യൂസസ് ഇറ്റ്കി.,Jesus cried.
501,66762,Happy Easter!,Iloista pääsiäistä! | Iloista Pääsiäistä! | Laba pääsiäistä!,True Match!
502,66989,What's that?,क्या है? | क्या है? | क्या है? | क्या है? | क्या है?,What is that?
503,67124,Is that a bat?,നിനക്കെന്താ ലപ്പങ്കോ?,Is that a bat?
504,67126,That is mine.,నాన్ చూడండి.,That's mine.
505,67345,Alice smiled.,ലിയസ ഹിമിലി.,Alice smiled.
506,68134,Do you know if he has a girlfriend?,"Víš, že má přítelkyni?",Do you know if he has a girlfriend?
507,68547,The house is haunted.,Talossa kummittelee. | This on kummitustalo. | Se on kummitustalo. | Siinä talossa kummittelee.,It's shivering in that house. | It's shivering in the house.
508,68563,Look at that smoke.,Katso tuota savua.,You have to see that smoke.
509,68908,Are you free tomorrow?,| Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Jsi zítra volná? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco? | Máš zítra něco?,Are you free tomorrow? | Are you free tomorrow? | Are you free tomorrow?
510,68937,I admire you.,Ihailen sinua.,I admire you.
511,68948,Are you busy?,നിനക്കെന്താ ഇത്ര തിരക്ക്?,Are you busy? | Are you busy?
512,68954,Are you studying?,Opiskeletko?,Are you studying? | Are you studying? | Are you studying?
513,69044,Do you know where he lives?,"Víte, kde bydlí?",Do you know where he lives? Do you know where he lives? Do you know where he lives? Do you know where he lives?
514,69205,Do you get along with your boss?,♪ ♪ ♪,Do you have a good attitude with your boss? | Can you shoot well with your boss?
515,69421,Have you ever seen a whale?,Už jsi nikdy neviděl valasta?,Have you ever seen a whale?
516,69436,Do you like black cats?,ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟ | ایا تاسو غواړئ چې د انګلیسي ژبې زده کړئ؟,Do you like black cats? | Do you like black cats?
517,69506,You have a good memory.,සිනාල්ලා on hyvä muisti.,You have a good memory. | You have a good memory. | You have a good memory.
518,69521,Are you a student?,あなたは学生ですか? | あなたは学生ですか?,You're a student? | Are you a student? | Are you a student? | Are you a student?
519,69611,You have everything.,හැමදේම සිනාල්ලා.,You have everything.
520,69619,Do you want anything to eat?,何か食べたいですか? | Tahdotko食べたいですか?,Do you want something to eat?
521,69763,You're still young.,பாலின விகிதம் ஆயிரம் ஆண்களுக்கு 100 பெண்கள் வீதம் உள்ளனர். பாலின விகிதம் ஆயிரம் ஆண்களுக்கு 100 பெண்கள் வீதம் உள்ளனர்.,You're still young.
522,70408,Where is your room?,په اړه څه شی دی؟,Where is your room? | Where is your room?
523,70623,What is your name?,څه شی دی؟ څه شی دی؟ څه شی دی؟ څه شی دی؟,What's your name? What's your name? What's your name? What's your name?
524,70960,How old is your father?,Minkä ikäinen isänne on? | How old isäsi on?,How old is your father?
525,71000,How old is your grandfather?,Kaip senas jūsų isoisäsi ant?,How old is your grandfather?
526,71256,Are you students?,Ar esate opiskelijoita? | Ar esate te opiskelijoita?,Are you students?
527,71751,I know him.,Já ji znám. | Já ji znám. | Tunnen ji. | Vím ji.,I know him.
528,72055,He looks suspicious.,Hän näyttää epäilyttävältä.,He looks suspicious.
529,72076,Now I remember.,දැන් මතක තියාගන්න.,Now I know it again.
530,73398,Ten years is a long time.,ஆண்டு முடிவிற்கு மேலும் பல ஆண்டுகள் உள்ளன.,Ten years is a long time.
531,73434,It's ten o'clock sharp.,Kello na tasan 10.,It's exactly 10 o'clock.
532,138919,Welcome.,Welcome! | Welcome.,Welcome!
533,237639,You speak fluent English.,英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth 英语:Swipe smooth,You speak fluent English.
534,237692,I'll make you happy.,Teen sinut iloiseksi. | Teen sinut glücklicheksi.,I will make you happy. | I will make you happy.
535,237698,I believe in you.,Uskon sinuun.,I believe in you. I believe in you. I believe in you. I believe in you.
536,238862,It's Monday.,തിങ്കളാഴ്ച.,It's Monday.
537,239285,Can you find it?,Voitko finden sen? | findtkö sen?,Can you find it?
538,239431,Good luck.,In: Onnea matkaan. | Onnea.,Good luck. | Good luck. | Good luck! | Good luck! | Good luck! | Toi toi toi!
539,239578,Where do you live now?,Missä sinä asut ఇప్పుడు?,Where do you live now? Where do you live now? Where do you live today?
540,239892,Is he breathing?,ഇയാളെ തൂങ്ങിക്കിടക്കുന്നുണ്ടോ?,Is he breathing?
541,240166,Look back!,മ്യൂസിലേ!,Look behind you!
542,241077,Let's go!,മെൻറെൻ!,"Let's go! | Come on, we're gone."
543,241200,I give up.,Annan periksi. | Luovutan.,I'll give it up.
544,241675,I'm on a diet.,Olen dietilla. | Olen laihdutuskuurilla.,I'm on a diet.
545,242641,That's enough for today.,Tohle stačí od tohoto dne. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto. | Přestaň od tohoto dne k tomuto.,That's enough for today.
546,242732,It is very cold today.,Dnes on tosi chladno. | Dnes on strašně chladno. | Dnes on opravdu chladno.,It's freezing cold today.
547,242809,It's cold today.,ഇന്ന് തണുത്തു.,It's cold today. | It's cold today.
548,242836,It is Monday today.,ഇന്ന് തിങ്കളാഴ്ച.,Today is Monday.
549,242881,It's hot today.,今日は暑い日です. | 今日は暑い sää.,It's warm today.
550,243599,Sugar dissolves in water.,Sokeri liukenee veteen.,So you get a drink in the water.
551,243711,The worst is over.,പാഹിന് ഓഹിയില്.,The worst is over.
552,244539,Yesterday was my birthday.,Eilen oli syntymäpäiväni. | Eilen oli minun syntymäpäiväni. | Minulla oli eilen syntymäpäivä.,Yesterday was my birthday.
553,245411,Are you working?,Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете? | Вы работаете?,Are you working?
554,245454,I'm looking for a job.,Etsin työtä. | Etsin töitä.,I'm looking for a job. | I'm looking for a job.
555,245897,Children need loving.,Lapset tarvitsevat rakkautta.,Kids need love.
556,246314,"Stop, or I'll shoot.",Pysähdy Tai గన్.,"Halt, or I'll shoot."
557,247442,Welcome to our home.,සාදරයෙන් පිළිගන්නවා අපේ ගෙදරට.,Welcome to us.
558,247763,We try.,| Yritämme.,We're trying.
559,247937,We played soccer yesterday.,Já pelasimme včera fotbala.,We played soccer yesterday. | We played soccer yesterday.
560,248069,We painted the house green.,Maalasimme talon vihreäksi.,We've painted the house green.
561,250101,Please tell me your name.,名前の由来は? | Sanoisitko nimesi.,Please tell me your name.
562,250135,Follow me.,| Seuraa minua.,Follow me.
563,250327,Do you remember me?,Pamatuješ si minutku? | Pamatuješ si ten minutku? | Pamatuješ si minutku? | Pamatuješ si minutku?,Remember me? | Remember me?
564,250648,My legs still hurt.,ජල්කනි ඔවන් තවමත් කිපිට්.,My legs still hurt.
565,250680,He is my brother.,Hän on minun veljeni. | Hän on veljeni.,He's my brother.
566,251060,Answer me.,Vastaa minulle.,Answer me. | Answer me this. | Answer me.
567,251884,Where's my book?,මිසා on kirjani?,Where's my book?
568,252254,I played soccer yesterday.,Pelasin eilen jalkapalloa.,Yesterday I played soccer. | Yesterday I played football.
569,252272,I have a car.,Minulla on auto. | Mul on auto.,I have a car.
570,252280,I like castles.,Minä pidän linnoista.,I love caves.
571,252287,I am a student.,Já jsem student. | Já olen student. | Mä oon student.,I am a student. | I am a student.
572,252983,I don't drink much wine.,En juo paljon viiniä.,I don't drink a lot of wine.
573,253848,I have a computer.,Mám počítač.,I have a computer.
574,254335,I don't know how to spell the word.,| En osaa luetella tätä sanaa kirjain kirjaimelta.,I don't know how to spell the word.
575,254847,I'm glad to hear that.,Sepä mukava kuulla.,I'd love to hear that.
576,255034,I like chocolate.,| Pidän suklaasta. | Pidän suklaasta.,I love chocolate.
577,255055,I hid under the table.,Menin piiloon pöydän alle.,I hid under the table.
578,255080,I like tennis.,縣治天台。,I love tennis.
579,255340,I'd like to live in New York.,නිව් යෝර්ක්සිසා වල නිව් යෝර්ක්සිසා වල.,I would love to live in New York City.
580,255644,I'm happy to see you again.,Onpa kiva మీరు మళ్ళీ చూడటానికి.,I'm glad to see you again.
581,255717,I gave Mary a book.,Annoin Marille kirjan.,I gave Maria a book.
582,255926,I like to eat apples.,Syön mielelläni omenoita. | Syön mielelläni mangia omenoita.,I love apples.
583,256043,I bought a book.,ഓസ്റ്റിൻ ലൈസന്.,I bought a book.
584,256178,I can swim.,ඔසාන් වුයිඩා.,I can swim.
585,256236,I study English.,Minä opiskelen englantia. | Opiskelen englantia.,I study English.
586,256891,I like fish.,| Pidän kalasta. | Pidän kalasta.,I love fish.
587,256982,I'm going to the bank.,Olen menossa bankain. | Menen bankain. | lähden bankain.,I'm going to the bank.
588,257112,I like your car.,Pidän autostasi. | Pidän autostasi.,I love your car.
589,257113,I need your help.,Tarvitsen apuasi. | Minä tarvitsen apuasi.,I need your help. | I need your help.
590,257204,I'm married.,Olen naimisissa. | Minä olen naimisissa.,I am married. | I am married.
591,257266,I have lost my key.,Olen hävittänyt avaimeni. | Olen kadottanut avaimeni.,I lost my key. | I lost my key.
592,257499,I'm on vacation.,Olen lomalla.,I'm on vacation.
593,257783,He wrote a letter yesterday.,他昨天写了一封信.,He wrote a letter yesterday.
594,257809,I was busy yesterday.,"”“我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,” “我昨天很忙,",I was busy yesterday.
595,257819,I retired last year.,Jäin గత సంవత్సరం eläkkeelle.,I retired last year. | I retired last year.
596,258457,I wrote a letter.,കർജോട്ടിൻ കർജിൻ.,I wrote a letter. | I wrote letters.
597,258713,I laughed.,നൌരോയിൻ.,I was laughing. | I was laughing.
598,258769,I overslept.,Nukuin pommiin.,I beat myself.
599,258845,I know the truth.,Já tiedän totuuden. | Vím totuuden.,I know the truth.
600,258994,I'm not a student.,Minä en ole opiskelija.,I'm not a student.
601,259020,I have a new red car.,Minulla on uusi punainen auto.,I have a new red car.
602,259030,I've lost my ticket.,| Olen kadottanut lippuni. | Olen hävittänyt lippuni.,I've lost my ticket.
603,259045,I was in London last month.,Byla jsem v Londýně poslední kuussa.,I was in London last month.
604,259069,I am a teacher.,Olen Lehrer. | Já olen Lehrer.,I'm a teacher.
605,259070,I am not a teacher.,എന് ole ടീച്ചര്.,I'm not a teacher.
606,259190,I run.,Já běžen. | Juoksen.,I am running. | I am running.
607,259233,I'm proud of my son.,Olen ylpeä pojastani.,I'm proud of my son.
608,259288,I'm healthy.,Jsem terve.,I'm healthy.
609,259413,I'm afraid of earthquakes.,Minä pelkään maanjäristyksiä.,I'm afraid of earthquakes.
610,259747,I love reading books.,Já miluju číst knihy. | Rakastan číst knihy. | Já miluju číst knihy. | Rakastan číst knihy.,I love to read books.
611,259880,I do not have a cat.,Minulla ei ole kissaa.,I don't have a cat.
612,261221,I love her.,Rakastan häntä. | Já milujen häntä.,I love her. | I love her.
613,261477,I'm poor.,Olen köyhä.,I'm poor.
614,261490,I've never climbed Mt. Fuji.,En ole niekada kiivennyt Fuji-vuorelle.,I've never climbed Mt. Fuji.
615,261721,I'm busy.,വേഗത്തില് വരൂ.,I'm busy.
616,261849,I run every day.,Juoksen joka päivä.,I run every day.
617,262220,I live with my parents.,| Asun vanhempieni kanssa. | Asun vanhempieni luona. | Mä asun mun vanhempien luona.,I live with my parents. | I live with my parents.
618,262240,I like apples.,^ a b c d e f g | 神話の魔術師。,I love apples.
619,262315,I broke my arm.,Mursin käteni. | Minun käteni murtui.,I broke my arm.
620,262339,"I think so, too.",Jákin olen sitä mieltä. | Jákin luulen niin. | Niin minustakin.,That's what I think.
621,262424,Please help me.,ഓട്ടീസ്കോ?,"Help me, please. | Help me, please."
622,263406,Poets write poems.,Runoja is writing runoja.,Poets write poems.
623,263886,Time flies.,Aika rientää.,Time flies. | Time flies.
624,264824,Respect yourself.,| Kunnioita itseäsi. | Kunnioittakaa itseänne.,Respect yourself.
625,265233,What actually happened?,| What itse asiassa happened?,What actually happened? | What actually happened?
626,265406,I wish I had a car.,Olisipa minulla auto. | Voi kunpa minulla olisi auto.,I just had a car.
627,265500,Drive carefully.,| Aja varovaisesti. | Aja varovaisesti.,Ride safely. | Driving safely.
628,265501,Do you know how to drive a car?,Osaatko ajaa autoa? | どうやってautolla ajetaan?,Can you drive? | Do you know how to drive a car?
629,266051,Can I help?,Saanko help? | Voinko help?,Can I help?
630,266065,Help me.,Auta minua. | Auttakaa minua.,Help me. | Help me.
631,266400,Practice makes perfect.,Harjoitus dělá mestarin.,Training begets art.
632,266790,Get out!,Ulos täältä! | Häivy!,Away! | Away! | Out! | Go away! | Get lost! | Go with you! | Out under my eyes! | Go away! | Go away here. | Make you go away! | Get up! | Make you go away. | Come out. | Go away. | Darken up. | Make you go away! | Get up! | Get out of here! | Get up! | Make you go away! | Get up!
633,268087,Get down!,මාහාන්!,Jump! | Get down! | No! | Get down! | Get down! | Get down! | Get down! | Lay down! | On the ground! | Get off!
634,268828,Unbelievable!,Uskomatonta!,Unbelievable! | Unbelievable! | Unbelievable!
635,270147,Are you kidding?,Is this joku vitsi? | Et oo tosissas.,Are you crazy? Are you kidding? Are you kidding me?
636,271901,Try hard.,Try hard. | Yrittäkää kovasti.,Do your best.
637,272043,Keep quiet.,Pysy hiljaa.,Keep quiet. | Be quiet!
638,273621,See above.,Katso yllä!,Look up here.
639,273694,Everything went smoothly.,හැමදේම සිද්ද වෙනවා.,Everything went smoothly. | Everything went smoothly.
640,273786,I have no idea.,Ei hajuakaan. | Ei aavistustakaan. | En kyllä tiedä yhtään.,I have no idea.
641,274210,Open the window.,विंडो खोलें. | विंडो खोलें. | विंडो खोलें. | विंडो खोलें.,Open the window!
642,274237,Close the window.,windows. | windows. | windows. | windows.,Close the window.
643,275276,I am exhausted.,Jsem uupunut. | Olen ihan poikki. | Olen ihan loppu. | Olen rättiväsynyt.,I'm exhausted.
644,275743,Are you all right?,Jsi v pořádku? | Je všechno v pořádku? | Je všechno v pořádku? | Je všechno v pořádku? | Je všechno ihan hyvin?,Are you okay?
645,276105,Is anybody here?,Je tu někdo? | Je tu někdo ketään? | Je tu někdo? | Je tu někdo?,Anybody here?
646,276106,Is somebody there?,Je tam někdo?,Is anybody there?
647,276298,Is anybody home?,ගෙදරට යනවද?,Is anyone home?
648,276369,Who knows?,Kuka tietää?,Who knows? | Who can know? | Who will say?
649,276629,No one helped me.,Kukaan ei auttanut నాకు.,Nobody helped me.
650,276955,It's too expensive.,太贵了! 太贵了! 太贵了! 太贵了!,It's too expensive. | It's too expensive. | That's too expensive!
651,276998,Ignorance is bliss.,Tieto lisää tuskaa. | Tietämättömyys on autuus.,What doesn't know doesn't teach. | What the eye doesn't see doesn't teach the heart.
652,277046,Knowledge is power.,Tieto on valtaa.,Knowledge is power.
653,277466,Let me in.,විනාඩියක් ඇතුලට යන්න.,Let me in.
654,277720,Stop talking.,Lopeta puhuminen.,Stop talking. | Shut up! | Stop kissing.
655,277773,Breakfast is ready.,Aamiainen on valmis.,The breakfast is ready. | The breakfast is ready.
656,278174,Birds sing.,Linnut laulavat.,Birds sing.
657,278213,Birds fly.,Linnut lentävät.,Birds fly.
658,278220,Birds lay eggs.,Linnut munivat.,Birds lay eggs.
659,278535,It's my brother's.,Se na veljeni.,It's from my brother.
660,278606,Don't give up!,හෙලෝ! | Et saa antaa periksi.,Don't give up!
661,279153,Turn off the light.,| Laita valot pois päältä.,Turn off the lights. | Turn off the lights.
662,279284,Answer the phone.,Vastaa puhelimeen.,Pick up the phone.
663,280125,My head aches.,මුන් සියේ කිපි වල.,I have headaches.
664,280162,Cool off!,റൌഹൂയിറ്റൂ!,Cool it down!
665,280393,Are you lost?,ඔයා eksynyt ද?,Are you lost?
666,280576,Are you single?,ඔයාද sinkku? | Oletko poikamies? | Ook sä sinkku? | Oletko sinä sinkku?,Are you a single person? Are you a single person?
667,281301,Have you decided to go to Japan?,നിങ്ങള് ജപ്പാന് പോകാന് തീരുമാനിച്ചോ?,Have you decided to go to Japan?
668,281606,Japan is a rich country.,リカス・マアの日本人。,Japan is a rich country.
669,281616,Welcome to Japan.,සාදරයෙන් පිළිගන්නවා ජපානයන්.,Welcome to Japan.
670,282197,Years passed.,| Vuosia kului.,Years went by.
671,282225,I am eighteen years old.,Olen kahdeksantoistavuotias. | Olen kahdeksantoista.,I'm 18 years old.
672,282462,My back still hurts.,Selkääni sattuu yhä.,My back is still hurting.
673,283413,Guess what he told me.,Arvaa mitä hän kertoi minulle. | Arvaa mitä hän kertoi minulle.,Guess what he told me.
674,283629,I like him.,^ a b c d e f g | ^ a b c d e g | ^ a b c d e g | ^ a c d e g | ^ a b c d e g | ^ a c d e g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g,I like him.
675,285184,Grab him.,එයාව අල්ලගන්න.,Grab him.
676,286516,Forget him.,അവനെ പിടിക്ക്!,Forget him.
677,287067,He has long legs.,Hänellä on pitkät jalat.,He's got long legs.
678,288121,He has a dog.,| Silla on dog. | Silla on dog.,He has a dog.
679,288166,He tries.,Hän versuchen.,He's trying.
680,288669,He is a DJ.,Он на DJ.,He's a DJ.
681,288982,How old is he?,Minkä ikäinen hän on? | How old hän on?,How old is he?
682,289132,He is always with me.,Hän on aina kanssani.,He's always with me.
683,289812,He doesn't like coffee.,| Hän ei pidä kahvista. | 彼はコーヒーを飲んでいる。,He doesn't like coffee.
684,290025,He likes playing soccer.,Hän pitää fotboll pelaamisesta.,He loves football.
685,290321,He accelerated.,Hän kiihdytti.,He accelerated.
686,291622,He eats a lot.,Hän syö paljon.,He eats a lot.
687,291665,He decided to quit smoking.,Hän päätti lopettaa tupakoinnin.,He decided to quit smoking. | He decided to quit smoking.
688,291872,He played tennis.,Hän pelasi tennistä.,He played tennis.
689,292088,He's very ill.,Hän on tosi sairas.,He's very sick.
690,292468,He became a pianist.,Hänesta tuli pianisti.,He became a pianist.
691,292619,He can also speak French.,| Hän osaa myös puhua ranskaa.,He also speaks French.
692,294141,He was afraid of his wife.,Hän pelkäsi vaimoaan.,He was afraid of his wife. | He was afraid of his wife.
693,294993,He knows a lot of people.,Má hodně lidí.,He knows a lot of people.
694,295297,He's strong.,Hän on strong.,He's strong.
695,295346,He is a teacher.,Hän on teacher. | Se on ope. | Hän on ope.,He's a teacher. | He's a teacher.
696,295395,He fell backward.,Hän kaatui taaksepäin.,He got behind. | He got behind.
697,295648,He's stronger than you.,එයා ඔයාව vahvempi මත තියාගන්නවා.,He's stronger than you.
698,296292,He works in a factory.,එයා වැඩකරනවා. එයා වැඩකරනවා.,He works in a factory.
699,296294,He is happy.,Hän on onnellinen.,He's happy.
700,296902,He died yesterday.,他昨天睡着了。,He died yesterday.
701,297564,He lied to me.,Hän valehteli minulle.,He was arguing with me.
702,298043,He speaks English better than I do.,他比我更说英语了。,He speaks better English than I do.
703,298463,He tried to kill himself.,Hän yritti tappaa himself.,He tried to commit suicide.
704,298467,He committed suicide.,Hän teki itsemurhan.,He committed suicide.
705,299788,He is eating.,| Hän syö parhaillaan. | Hän syö parhaillaan.,He's eating. | He's eating.
706,299819,Is he sleeping?,| Nukkuuko hän? | Nukkuukse? | Is he nukkumassa?,Is he falling?
707,299984,He told the truth.,Hän sanoi totuuden.,He told the truth. | He told the truth.
708,301814,He's talking on the telephone.,Hän puhuu puhelimessa.,He's on the phone. | He's on the phone.
709,302395,He is not stupid.,Hän ei ole tyhmä.,He's not crazy. | He's not stupid.
710,302406,Is he tall?,එයා දිගද?,Is it long? | Is it big?
711,302443,He is a friendly person.,"ഹലോ, ചേട്ടാ.",He's a friendly person.
712,303714,He likes adventure.,Hän pitää seikkailusta.,He loves adventure.
713,303959,He is asleep.,ഹാൻ nukkuu.,He's asleep.
714,304339,He's an excellent brain surgeon.,Hän na erinominen aivochirurgie.,He's an excellent brain surgeon.
715,305382,They are actors.,එයා රූගත කලා.,They're actors.
716,305514,They don't always obey their parents.,එයා හැමතිස්සෙම ගෙදරට එන්නෙ නෑ.,They don't always obey their parents.
717,305951,They hated Tom.,അവന് ടോമിയയെ വഷളിച്ചു.,They hated Tom.
718,306813,They went to Chicago by car.,එයා චිකාගෝ වල ඕටෝලා වලට ගියා.,They drove to Chicago.
719,307284,Are they Japanese?,ഇവന് ജപ്പാന് കാര് ആണോ?,Are they Japanese?
720,308580,She opened the door.,Hän avasi trouba.,She opened the door. | She opened the door. | She opened the door.
721,309976,She tried.,Hän yritti.,She tried. | She tried. | She tried.
722,310214,She is eight.,8 വര് ഷമായി.,She's eight. | She's eight years old.
723,310506,When was she born?,Milloin hän syntyi? | Milloin hän on syntynyt?,When was she born?
724,311795,She is very intelligent.,එයා ඇත්තටම බුද්ධිමත්.,She's very intelligent.
725,311828,She loves Tom.,Hän rakastaa Tomia.,She loves Tom.
726,311898,She smiled.,Hän hymyili.,She was laughing.
