,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
21493,37512,Where does it hurt?,Where does it hurt?,Where does it hurt? | Where did you hurt? | Where is the pain?,Where do you come from? | Where do you come from? | Where do you come from? | Where do you come from? | Where do you come from?,Where is it wrong? | Where is it wrong?,Where does it hurt?,Where does it hurt? | Where does it hurt? | Where does it hurt? | Where does it hurt?,Where does it hurt?,Where does it hurt? Where does it hurt? Where does it hurt? Where does it hurt?,Where does it hurt?,Where does it hurt? | Where does it hurt?,Where does it bother you? | Where does it bother you? | Where does it bother you?,Is he hungry?,Where does it hurt? | Where does it hurt? | What does it hurt? | What does it hurt you?
21787,37840,It was really cheap.,It's really cheap.,It was very cheap.,It was really cheap. | It was really cheap.,It was really cheap.,It was very cheap. | It was very cheap.,It was really cheap. | It was inexpensive. | It was really cheap.,It was really cheap. | It was really cheap. | It was really cheap.,it was very cheap.,It was really cheap.,It was very comfortable.,It was very cheap. | It was really cheap.,It was really cheap.,It was very cheap. | It was very cheap. | It was very cheap. | It was very cheap.
21838,37894,It doesn't matter.,It doesn't matter.,It doesn't matter. | It doesn't matter. | It doesn't matter.,It does not matter.,It’s not serious. | It doesn’t do anything. | It doesn’t matter. | It doesn’t matter. | It doesn’t do anything.,It doesn't matter. | It doesn't matter. | It doesn't matter. | It doesn't matter. | It doesn't matter.,Doesn't matter. Doesn't matter. Doesn't matter! Doesn't matter.,It doesn't matter. | It doesn't matter.,it's all right. it's all right. it's all right.,Invalid. | Not harmful,It doesn't matter. | It doesn't matter. | It doesn't matter.,It does not matter. | It does not matter. | It does not matter. | It does not matter. | It does not matter.,It's not important. | It's not important. | It's not important.,It doesn't matter.
21871,37928,Which book is yours?,What is your book?What is your book?What is your book?What is your book?What is your book?What is your book?What is your book?What is your book?,What book is yours? | What book is yours?,What book is it for you?,What book is yours? | What book is yours? | What book is yours?,What is your book? | What is your book? | What is your book?,What book is yours?,What's your book? What's her book? What's your book? What's your book? What's your book? What's her book? What's your book?,Which book is yours? | Which book is yours?,Which book is yours?,Which book is yours? | Which of the books is yours? | Which book is yours?,What is your book? | What is your book?,What book is yours?,What's your book? | What's your book? | What's your book? | What's your book? | What's your book?
21919,37981,You may choose whichever you want.,You can choose anything you want.You can choose anything you want.,You can choose what you want. | You can choose what you want. | You can choose what you want. | You can choose what you want.,You can choose what you want.,You can choose what you want. | You can choose what you want.,You can take whatever you want. | You can choose whatever you want. | You can choose whatever you want.,You can choose as your will.,You can choose which one you want.,You can choose whoever you want. | You can choose whoever you want.,You can choose whichever you want.,You can choose anything you want.,You can choose what you want. | You can choose what you want.,You can choose whatever you want.,You can choose whichever one you want.
22065,38153,Where do you work?,"Where do you work, please | Where do you work",Where do you work?,Where do you work? | Where do you work? | Where do you work? | Where do you work?,Where do you work? | Where do you work? | Where do you work? | Where do you work?,Where do you work? | Where do you work? | Where do you work?,Where do you work? | Where do you work? | Where do you work? | Where do you work?,Where does she work? Where do you work? Where do you work? Where do you work? Where does she work? Where do you work?,Where do you work? | Where do you work? | Where do you work? | Where do you work?,Where do you work? | Where do you work?,Where do you work? | Where do you work? | Where do you work?,Where do you work? | Where do you work? | Where do you work? | Where do you work?,Where are you working?,Where do you work? | Where do you work?
22275,38387,I'm sorry.,I'm sorry.I'm sorry.I'm sorry.,I'm sorry. | I'm sorry. | Excuse me. | I'm sorry.,Excuse me. | I am sorry. | I am sorry.,Excuse me. | I'm sorry. | Excuse me. | Sorry! | I'm sorry! | I'm sorry. | I'm sorry.,I'm sorry. | Sorry! | Sorry.,I'm sorry. | I'm sorry. | I'm sorry. | I'm sorry. | I'm sorry. | I'm sorry.,I'm sorry. I'm sorry. I'm sorry. I'm sorry.,I'm sorry.I'm sorry.I'm sorry.I'm sorry.I'm sorry.I'm sorry.I'm sorry.I'm sorry.I'm sorry.,I'm sorry. | Sorry.,Excuse me. | Excuse me. | I'm sorry. | I'm sorry... | I'm sorry. | I'm sorry! | I'm sorry. | I'm sorry. | I'm sorry.,I am sorry.,I apologise. | I'm sorry.,Sorry. | Sorry! | Sorry. | Sorry. | I'm sorry. | I'm sorry. | Sorry.
22280,38392,I don't get it.,I don't understand.I don't understand.,I don't understand. | I don't understand. | I don't understand.,I cannot understand. | I cannot understand.,I don’t understand. | I don’t get it. | I don’t get it. | I don’t get it. | I don’t get it. | I don’t get it.,I only understand station. | I don't understand it. | I don't understand that. | I don't understand that.,I don't understand. | I don't understand. | I don't understand. | I don't understand. | I don't understand.,I don't get it. | I don't get it. | I won't get it.,i don't think there's any point.,I don't hate it.,I don't understand. | I don't understand this. | I don't understand humor. | I don't understand.,I do not understand. | I do not understand. | I do not understand. | I do not understand.,I don't understand it. | I don't understand it.,I don't understand. | I don't understand. | I don't understand.
22349,38464,Please drive carefully.,Be careful to drive.,Try to drive safely.,Be careful. | I am being careful.,Please be careful when driving.,Please be careful. | Please be careful. | Please be careful. | Please be careful!,Please be careful to drive. | Please be careful to drive. | Please be careful to drive.,Please drive safely.,Please drive carefully. | Drive carefully.,Please proceed carefully.,"Be careful, please.",Please drive carefully. | Please drive carefully.,Please drive carefully.,Please drive the car carefully. | Please drive the car carefully.
22414,38559,Please make yourself comfortable.,"Don't be rude, just sit down.",Make it easy for yourself.,Make yourself comfortable.,Relax. | Relax.,Please make it comfortable. | Please make it comfortable. | Please make it comfortable!,"Feel at home, please.",You get together.,Please enjoy it. | Please enjoy it. | Please enjoy it. | Please relax.,Anger.,Please be comfortable. | Please be comfortable. | Please be comfortable.,Please be comfortable.,Please relax.,Please be more comfortable. | Please be more comfortable.
22420,38571,"Sit down, please.",Please sit down.,Please sit down.,"Please sit down. | Go sit down, please. | Sit down, please. | Sit down. | Sit down, please. | Go sit down, please.",Please take a seat. | Please take a seat.,Please sit down. | Please sit down. | Please sit down! | Please sit down! | Please take a seat. | Please take a seat! | Please take a seat.,"Come, please. | Come, please. | Come, please.",Please sit down. | Please sit down. | Please sit down. | Please sit down.,Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit.,Please get up.,Sit down please. | Sit down please! | Sit down please. | Please sit down. | Sit down please. | Sit down please.,Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit. | Please sit.,"Take it, please.",Please come. | Please come.
22633,38820,Please forgive me.,"Excuse me, please.Excuse me, please.","Forgive me, please.",Forgive me.,Excuse me if you're sorry. | Excuse me if you're sorry. | Excuse me if you're sorry. | Please forgive me. | Please forgive me.,Please forgive me. | Please forgive me!,Please forgive me. | Please forgive me. | Please forgive me. | Please forgive me. | Please forgive me.,Please forgive me. | Please forgive me. | Please forgive me. | Please forgive me. | Please forgive me.,forgive me. forgive me. forgive me.,"Excuse me, please.","Forgive me, please. | Please, forgive me. | Forgive me, please. | Forgive me, please.","Please forgive me. | Forgive me, please. | You must forgive me.",Please forgive me.,Please forgive me. | Please forgive me. | Please forgive me. | Please forgive me.
22726,38926,How are you doing?,How are you? Are you all right? Are you all right?,How's it going? | How's it going with you? | How's it going? | How's it going with you? | How's it going with you?,What does it mean? | How can you?,How are you doing? | How are you doing? | How are you doing?,How are you? | How are you? | How are you?,What's yours?,How are you? How are you? How are you?,How are you doing? | How are you?,How are you?,How do you live? How do you do business? How do you live? How do you do business? How do you do business?,How are you? | How are you? | How are you?,How?,How are you? | What's life like? | How are you doing? | How are you doing?
22731,38932,Where's the restroom?,Where's the toilet?,Where's the toilet?,Where is the WC?,Where are the toilets? | Where are the toilets?,Where is the toilet?,Where's the toilet?,Where's the toilet? | Where's the bathroom?,Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?Where is the toilet?,Where is the toilet?,Where is the toilet?,Where is the bathroom? | Where is the rest of the bathroom? | Where is the service?,Where is the toilet?,Where's the toilet? | Where's the laundry? | Where's the toilet?
22751,38955,German is not an easy language.,German is not an easy language.,"Now, German is not an easy language.",Germany is not an easy language.,German is not an easy language.,German is not an easy language. | German is not an easy language.,German is not an easy language. | German is not an easy language.,German is not an easy language.,German is not a soft language.,German is not an easy language.,German is a difficult language.,German is not a simple language.,German is not an easy language.,German is a loose language. | German is a loose language.
22919,39148,Turn off the TV.,Turn off the television.,Turn off the TV. | Turn off the TV.,Close the television.,Turn off the TV.,Turn off the TV. | Turn off the TV. | Turn off the TV. | Turn off the TV. | Turn off the TV!,Turn off the TV.,Turn off the TV. | Turn off the TV. | Turn off the TV.,turn off the TV.,Turn off TV.,Turn off the TV. | Turn off the TV. | Turn off the TV. | Turn off the TV.,Turn off the TV. | Turn off the TV. | Turn off the TV.,Close the TV. | Close TV.,Turn off the TV. | Turn off the TV.
22935,39164,I watch television.,I watch TV.,I watch TV.,I watch television. | I watch television. | I watch television. | I watch television. | I watch television.,I watch television.,I see far away.,I watch television. | I watch television.,I watch television.,I watch TV. | I watch TV.,I watch TV.,I watch TV.,I'm watching TV. | I'm watching TV.,I watch television.,I'm watching TV. | I'm watching TV.
23362,39619,There is an orange on the table.,There's an orange on the table.,There's an apple on the table.,There is an apple on the table.,There is an orange on the table.,On the table is an orange.,There's an apple on the table. | There's an apple on the table.,There's an apple on the table. | There's an apple on the table.,There are oranges on the table.,On the table is orange.,On the table is orange. | On the table is orange.,There is an orange on the table. | There is an orange on the table.,There's a porridge on the table. | There's a porridge on the table.,There's an orange on the table.
23726,40019,Let me see it.,Let me see.,Let me show you.,Let me see.,Let me see it. | Let me see it. | Let me see it. | Let me see it. | Let me see it. | Let me see it. | Let me look at it!,Show me!,Let me see that.,Make me see. Make me see. Make me see. Make me see. Make me see. Make me see. Make me see. Let me see.,let's have a look. | Let's have a look.,Let me see.,Let me see.,Let me see. | Let me see.,I'll give him a look.,Let's look. | Let's look at him. | Let's look at her.
23755,40051,Step aside.,Let it go.,Step aside. | Step aside.,Step aside.,Be careful! | Be careful!,Go to the side! | Go to the side! | Go to the side.,Move aside.,Step aside. | Step aside. | Step aside.,wait a minute.,Move away.,| Turn away. | Turn away. | Turn away. | Turn away. | Turn away. | Turn away.,Put it aside.,The picture was taken at Kenra.,Step back.
24039,40350,No one can help me.,Nobody can help me.Nobody can help me.,No one can help me.,No one can help me.,No one can help me.,No one can help me. | No one can help me.,No one can help me.,No one can help me. | No one can help me. | No one can help me. | No one can help me.,no one can help me.,No one can help me.,Nobody can help me. | Nobody can help me.,No one can help me.,No one can help me. | No one can help me.,No one can help me.
24119,40434,Who cares?,Who loves who?,What does it matter? Who cares? Who cares?,Who would be interested? | It would be interesting.,Who cares? | Who cares? | Who cares?,Who cares? | Who cares already? | Who cares? | Who’s interested? | Well and?,Who cares?,Who cares? | Who cares?,Do you know? | Who cares?,Who cares?,Who is interested? | What is the difference? | Who is interested? | Who is interested?,Who cares?,Who cares? | To whom what?,What's the difference? | Who cares? | Who cares? | Who cares?
24301,40632,Stop smoking.,I'll smoke again.,Stop smoking.,Stop smoking. | Stop smoking. | Stop smoking.,Quit smoking.,Stop smoking.,Quit smoking.,Stop smoking. | Stop smoking. | Quit smoking.,Stop smoking tobacco.,Stop smoking.,Brosay smoking. | He is allowed to smoke. | Brosite smoking.,Quit smoking.,Stop smoking cigarettes.,Stop smoking. | Stop smoking.
24829,41207,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans love hamburgers.,Most Americans like hamburgers.,The majority of Americans love hamburgers.,Most Americans love Hamburgers.,Most Americans love hamburgers.,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans like hamburgers.,Most Americans love hamburgers.,Most Americans love hamburgers.
25162,41556,I didn't mean it.,I don't mean that.,I didn't mean it.,I did not mean that.,This was not my intention. | I did not express it.,I didn't mean it that way. | I didn't think of it that way. | I didn't mean it that way.,That's not what I meant. | I didn't mean.,I didn't mean that.,i didn't mean to.,I did not want to.,I'm not special. | I didn't mean that. | I didn't want. | I didn't want to.,I didn't do it. | I didn't do it anywhere. | It wasn't my intention.,I did not want to say that.,I didn't mean to. | I didn't mean to.
25178,41572,Don't say that.,Don't say that.,Don't say that.,Don't say that. | Don't say that.,Don't say that. | Don't say that.,Don't say that.,Don't say that.,Don't say it. | Don't say it. | Don't say it.,don't say that. | don't say that.,Don't say that.,Don't say this. | Don't say this. | Don't say this. | Don't say this.,Don't say that. | Don't say that!,Say it like that. | Say it like that.,Don't say that. | Don't say that. | Don't say that. | Don't say that.
25310,41719,Turn it off.,Turn it off.,Turn it off. | Turn it off.,Remove it from your head. | Remove it. | Close it.,Turn it off. | Turn it off! | Turn it off!,Turn it around. | Do it. | Do it. | Do it. | Do it. | Do it.,Turn it off. | Got it.,Turn it off. | Turn it off. | Turn it off. | Turn it off. | Turn it off.,erase it.,Turn it off.,Turn it off. | Turn it off. | Turn it off. | Turn it off. | Turn it off. | Turn it off.,Appreciate it.,Close it.,Turn it off. | Turn it off.
25413,41825,"Give it to me, please.",Please give it to me.,"Give it to me, please.",Please give it to me.,"Give it to me, please. | Give it to me, please. | Give it to me, please.",Please give it to me. | Please give it to me! | Please give it to me!,"Give me that, please.","Give it to me, please.",please give it to me.,"Please, give me that.","Give me this, please. | Give it to me, please. | Give it to me, please. | Give it to me, please. | Give it to me, please.",Please give me that. | Please give me that.,"Give it to me, please.","Give it to me, please. | Give it to me, please. | Give it to me, please. | Give it to me, please."
25435,41848,Let me see that.,Let me see.,Let me see that. | Let me see that.,Let me look at that.,Let me see that. | Show me that.,Let me see. | Let me see. | Let me see. | Let me see. | Show me that!,Show me this. | Let me see this.,Let me see. | Let me see. | Let me see.,show me that. | show me that. | show me that.,Let me see that.,Let's see. | Let's see.,Let me see that. | Let me see that.,Let me not see it. | Let me not see it.,Let me see. | Show me this.
25615,42038,It's about the size of an egg.,It's the size of a chicken egg.,It's about the size of an egg. It's about the size of an egg.,It is about the size of a mouth.,It is about the size of an egg.,It is about the size of an egg. | It is about the size of an egg. | It is about the size of an egg.,That's about the size of a lake.,It's about the size of an egg.,It's about the size of an egg. | It's about the size of an egg.,It is less than the size of the egg.,It's about the size of an egg. | It's about the size of an egg. | It's about the size of an egg. | It's about the size of an egg.,It is about the size of an egg. | It is about the size of an egg.,It is about the size of an egg.,It's about the size of an egg. | It's about the size of an egg. | It's about the size of an egg.
25800,42235,Whose idea was it?,Whose idea is this?,Whose idea was it?,Whose idea was it? | Whose idea was it?,Who was this idea from?,Whose idea was that?,Who had this idea?,Who was the idea? | Who was the idea?,Whose idea was that?,What was the idea?,What was the idea?,Who was the idea? | Who was that idea?,Who was he thinking of?,What was that idea?
25903,42344,Is it yours?,Is this yours?,Is it yours? | Is it yours? | Is it yours?,Is it you?,Is it yours? | Is it yours? | Is it yours? | Is it yours? | Is it yours? | Is it yours?,Is it yours? | Is it yours? | Is it yours? | Is it yours?,Is it yours? | Is it yours? | Is it yours?,Is it yours? Is it yours? Is it yours? Is it his? Is it his? Is it yours?,Is it yours? | Is it yours?,Is it yours?,Is it yours? Is it yours? Is it yours? Is it yours? Is it yours? Is it yours? Is it yours? Is it yours? Is it yours? Is it yours?,Is it yours? | Is it yours? | Is it yours?,Is it yours? | Is it yours?,Is it yours? | Is it yours? | Is it yours? | Is it yours?
26116,42572,I put it in the drawer.,I put it in the drawer. | I put it in the drawer.,I do it in the lawn.,I put it in the drawer. | I put it in the drawer.,I put it in the drawer. | I put it in the drawer.,I put it in the drawer. | I put it in the drawer. | I put it in the drawer. | I put it in the drawer. | I put it in the drawer. | I put it in the drawer.,I put it in the exile. | I put it in the exile. | I put it in the exile.,I put it in my pocket. | I put it in my pocket.,I put it in the drawer.,I put it in the drawer.,I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box. | I put it in a box.,That's what I put it in the drawer. | I put it in the drawer.,I put him in the drawer.,I put him in a hollow. | I put him in a hollow.
26373,42849,What is it?,What is it?,What is that? | What is it? | What should you do? | What do you want? | What is there?,What is it? | What is it?,What is it? | What is it? | What is it? | What is it?,What is this? | What is this thing? | What is there?,What happened? | What is it? | What is there?,What is it? What is it? What is it?,What is it? | What is it?,What is this?,What is it?,What is it? | What is it?,What is it? | What is it?,What is this? What is this? What is this?
26708,43211,What does it mean?,What does that mean?,What does it mean?,What does that mean?,What does it mean? | What does it mean?,What does that mean?,What does it mean? What does it mean? What does it mean?,What does it mean? What does it mean? What does it mean? What does it mean? What does it mean? What does it mean? What does it mean?,What does it mean?What does it mean?What does it mean?What does it mean?What does it mean?What does it mean?,What does this mean?,What does this mean?,What does that mean?,What does it mean? What does it mean? What does it mean? What does it mean?,What does it mean? | What does it mean?
27366,43899,Give me the book.,Give me the book. - Give me the book.,Give me the book.,Give me the letter. | Give me the letter. | Give me the letter.,Give me this book.,Give me the book. | Give me the book! | Give me the book!,Give me the book.,Give me the book. Give me the book. Give me the book.,Take that book. | That book.,Give me this book.,Give me a book. | Give me a book.,Give me the book. | Give me that book. | Enter the book.,Give me the book. | Give me the book.,Give me a book. | Give me a book. | Give me a book.
27393,43928,Where is the book?,Where is that book?,Where is the book?,Where is the book? | Where is the book?,Where is the book? | Where is the booklet?,Where is the book?,Where's the book?,Where's the book?,Where is the book?,Where is the book?,Where is the book?,Where is the book?,Where is the book?,Where's the book?
30161,46819,The car is ready.,The car is ready.,The car is ready.,The car is ready. | The car is ready.,The car is ready. | The bathroom is ready.,The car is ready. | The car is ready.,The car is ready. | The car is ready.,The car is ready. | The car is ready. | The car is ready.,The car has been repaired. | The car is ready.,The car is ready. | The car is ready. | The car is ready.,The machine is ready.,The car is ready.,The car is ready.,The machine is ready.
31360,48085,What does this word mean?,What does this word mean?What does this word mean?What does this word mean?,What does this word mean?,What does this word mean? | What does this word mean?,What does it mean? | What does it mean? | What does it mean?,What does this word mean?,What does this word mean? What does this word mean? What does this word mean?,What does this word mean? What does this word mean? What does this word mean? What does this word mean? What does this word mean? What does this word mean?,What does this word mean?What does this word mean?What does this word mean?What does this word mean?What does this word mean?What does this word mean?What does this word mean?What does this word mean?,What does this word mean? | What does this word mean?,What does this word mean? | What does this word mean?,What does this word mean? | What does this word mean?,What does that mean?,What does this word mean? | What does this word mean?
31515,48251,The dog is dying.,The dog is about to die.,The dog's dying.,The dog is dying.,The dog is dying | The dog is dying.,The dog is dying.,The dog is dying.,The dog is dying. | The dog is dying. | The dog is dying.,The dog is dying. | The dog is dying.,The dog dies.,The dog dies.,The dog is dying | The dog is dying.,The bridge is dead.,The dog dies.
33122,49963,Open the bottle.,Open the bottle.,Open the bottle.,Open the bottle. | Open the bottle. | Open the bottle. | Open the bottle.,| Open the bottle.,Open the bottle. | Open the bottle. | Open the bottle.,Open the bottle. | Open the bottle.,Open the bottle. | Open the bottle. | Open the bottle.,Give me that bean. | Give me that bean.,Open the bottle.,Open the bottle. | Open the bottle.,Open the bottle.,Open your heart. | Open your heart.,Open the bottle.
34300,51271,I'm not at all tired.,I'm not tired at all.,I'm not tired at all. | I'm not tired at all.,I am not tired at all. | I am not tired at all. | I am not tired at all. | I am not tired at all. | I am not tired at all.,I am not fatigued at all. | I am not fatigued at all. | I am not fatigued at all.,I am not tired at all. | I am not a bit tired. | I am not tired at all.,"I'm not tired at all. | I'm not tired, not at all. | I'm not tired at all.",I'm not tired at all. I'm not tired at all. I'm not tired at all.,I'm not tired at all. | I'm not tired at all. | I'm not tired at all.,I am not tired at all. | I am not tired at all.,I am not tired. | I am not tired.,I am not tired at all. | I am not tired at all. | I am not tired at all.,I am not tired at all.,I wasn't tired at all.
34363,51340,I have a cough.,I cough.,I have a hot tub.,I have one too.,I've caught the fever. | I'm all over. | I have a cough. | I have a cough.,I'm Husting. | I'm Husting.,I have a fever.,I've got toss. | I've got toss.,you're going to make a mess.,I have a cough.,I have cough. | I'm coughing.,I am crazy.,I'm sorry.,I have a cough.
34690,51692,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.","All horses are animals, but all animals are not horses.","All horses are animals, but animals are not all horses.","All horses are animals, but not all animals are horses. | All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses. | All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses. | All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses.","All horses are animals, but not every animal is a horse.",All horses are animals but not all animals are horses. | All horses are animals but not all animals are horses.,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses. | All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses."
35005,52022,Terrific!,That's great!,Fantastic! | Cool! | Brilliant! | Wonderful! | Good! | That's great! | Well done! | What a great! | So good! | Good. | Great! | That's great! | Excellent! | Very good! | Wonderful!,It is possible! | Wake up! | Wake up! | Nonsense!,Genuine! | Excellent! | Formidable! | Sensass! | Super! | Very good! | Fantastic! | Genuine! | Super! | Magnificent! | Wonderful! | At the right time! | Impressive! | At the nose! | Nickel! | Well. | It's awesome! | Nickel chrome! | It's super.,Excellent! | Fabulous! | Wonderful!,Wonderful!,That's great.,it's amazing! it's amazing!,Amazing.,Great! | Brilliant. | Super! | Open the tower! | Write.,Great! | What a father! | Oh!,Great!,Great! | Awesome! | Awesome! | Fantastic!
35010,52027,Wow!,"Whoa, whoa!",That's not crazy!,It is possible! | Hold on! | Wow!,That's it! | Waouh! | Wah!,Great! | Potzdonner! | Thunderstorm!,Wow! | Whoa!,Wow!,wow! wow! wow!,"Oh, the grandmother burned her robe! | Lał!",Nothing to myself! | Classic! | Here it is! | Cool! | Healthy! | Oh you! | Oh! | Wow!,Wow! | ¡Órale!,What a pity!,Oh yeah! | Wow! | Great! | Awesome! | Nothing! | Awesome! | Whoa! | Wow!
35060,52081,I'm coming.,I'm here.I'm here.,I'm coming. | I'm coming.,I am coming. | I am coming. | I am coming. | I am coming.,I am playing. | I'm coming. | I'm coming.,I'm coming. | I'm right there.,I'm coming. | I'm coming.,I'm coming. | I'm coming. | I'm coming.,I'm going now. | I'll be right there. | I'm going now.,I'm already going.,I'm going. | I'm going. | I'm coming.,I am going. | Here I am going. | I am going.,I am coming. | I am coming.,I'm going. | Now.
36366,53465,Study hard.,Learn well.,Study hard.,Take a hard look.,Study with application. | Study with application.,Learn diligently!,Learn hard.,Study hard. | Study hard. | Study hard.,Study hard. | Please study hard.,Learn diligently.,Learn earnestly.,"The Committee recommends that the State party take all necessary measures to ensure the full enjoyment of all human rights and fundamental freedoms, including the right to education, including the right to health, the right to adequate housing, the right to adequate food, the right to adequate shelter and the right to adequate housing.",Work hard.,Learn hard. | Learn hard.
37073,54201,Here comes the bus.,The bus is here.,Here comes the bus.,There will be a bus.,The bus arrives. | Here's the bus.,There comes the bus.,Here comes the bus.,Here comes the bus.,The bus has arrived. | Here's the bus.,The bus is coming. | The bus is coming.,And here is the bus.,Here comes the bus.,The bus is coming!,Here's a bus.
37093,54223,Come along.,Come on. Come on.,Come with me.,Come along. | Come with us. | Come with us.,Join us.,Come with. | Come with.,Join.,Proceed. | Proceed. | Proceed.,Come here. | Come here together. | Come together. | Come with us.,Approach.,Come with us.,Welcomes the report of the Secretary-General on the implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples;,Come with us.,Join me. | Come with me.
37187,54331,Ladies first.,Ladies first.,Ladies first. | Ladies for everything! | Ladies go for it.,Women first.,Women first. | Ladies first! | Honour to ladies.,Women first.,Women first. Women's rights first. Women's empowerment first. Women's rights first.,First the ladies. | First the women.,from the lady. | Women first.,Mr President.,"First of all, ladies.",Ladies first.,Women first.,"First of all, ladies."
37308,54468,I wish you good luck.,I wish you all the best.I wish you all the best.I wish you all the best.,I wish you luck. | I wish you luck.,Good luck! | Good luck to you. | Good luck to you. | Good luck to you.,I wish you luck. | I wish you luck.,I wish you luck. | I wish you luck.,Good luck! | I wish you luck. | Good luck!,I wish them luck. | I wish you luck. | I wish you luck.,I wish you luck. | I wish you luck.,I wish you luck.,Good luck. | Good luck to you. | Good luck to you. | Good luck to you. | Good luck to you.,I wish you luck. | I wish you luck. | I wish you luck.,I wish you good luck.,I wish you luck. | I wish you luck. | I wish you luck. | I wish you luck. | I wish you luck.
37430,54604,"Hello, Tom.","Hello, Tom.","Hello, Tom.","Hey, Tom! | Hi, Tom! | Hey, Tom.","Hello, Tom. | Hello, Tom.","Hello, Tom.","Hello, Tom.","Hi, Tom.","Hello, Tom. | Hello, Tom.","Hi, Tom.","Hello, Tom.","Hello, Tom. | Hello, Tom!","Hello, Tom. | Hello Tom.","Hello, Tom. | Well done, Tom. | Hello, Tom."
37679,54868,It's true.,It's true.It's true.,It's true.,That is true.,It is true. | It is true.,It is true.,"Yes, it is.",It's true.,it's true! | It's true.,That is true.,So it is. | It is true.,It is true. | It is true.,Yes. | That's right.,That's true. | That's true. | That's true.
37886,55087,Whose books are these?,Whose books are these? Whose books are these?,Who are these books? | Who are these books?,Whose books are these?,Who are these books to?,Whose books are these? | Whose books are these? | Whose books are these?,Whose books are these?,Who are these books about?,Who are these books?,What are these books?,Whose books are these?,Whose books are these?,Whose books are these?,Whose books are these?
38220,55437,This is their house.,This is their house.,This is their house.,This is their house. | This is their house.,This is their home.,This is her house.,This is their home. | Here's their home.,This is their home. | This is their home.,This is their house.,It's their home.,This is their home.,This is your home.,This is their home.,This is their house.
38293,55514,Whose room is this?,Who's in this room?,Is this Vienna's room?,Whose room is this?,Whose room is this?,Whose room is this?,Who's in this room?,Who's this room? | Who's this room?,Whose room is this?,What is the room?,What is a room? | What is a room?,From whom is this room?,Whose room is this?,Whose room is this?
38298,55519,Whose umbrella is this?,Whose umbrella is this?,Is this Vienna's parasol?,Who is this floodplain?,To whom is this umbrella?,Whose is this screen? | Whose is this screen?,What's in this matrix?,Who owns this umbrella? | Who owns this umbrella?,Whose umbrella is this? | Whose umbrella is this? | Whose umbrella is this? | Whose umbrella is this? | Whose umbrella is this?,Who belongs to this umbrella?,What is the umbrella? | What is the umbrella? | What is the umbrella?,Who is this parachute from?,Whose umbrella is that?,What is a parasol?
38300,55521,Whose pencil is this?,Whose is this pencil?,This is Vienna's pencil?,Whose lead is this? | Whose nail is this?,To whom is this pencil?,Whose pencil is this? | Whose pencil is this?,Whose pencil is this?,Who is this pencil?,Whose pencil is this? | Whose pencil is this? | Whose pencil is this?,What is the pencil?,What is a pencil?,Whose paper is this?,Whose goal is this?,Who's the pencil?
38312,55535,This is too big.,This is too big.,This is too big.,That is too much.,It's very big.,That is too big.,It's too big too. | It's too big too.,This is too big.,this is too big.,That is too big.,It is too big.,That is too much.,It's very big.,It's too big. | It's too big.
38503,55738,This is a dog.,This is a dog.,This is a dog.,This is a dog.,This is a dog. | This is a dog.,This is a dog. | This is a dog.,This is a dog. | This is a dog.,This is a dog.,This is a dog. | This is a dog.,It is a dog.,It is a dog.,This is a dog. | This is a dog.,This is a dog.,This is a dog. | This is a dog.
38513,55749,Is this your bicycle?,Is this your bike?,Is this your bike? | Is this your bike?,Is this your bike? | Is this your bike? | Is this your bike?,Is it your bike? | Is it your bike? | Is it your bike? | Is it your bike? | Is it your bike? | Is it your bike? | Is it your bike?,Is this your bike? | Is this your bike? | Is this your bike? | Is this your bike?,Is that your bike?,Is this your bike? | Is this your bike?,Is this your bike? | Is this your bike? | Is this your home bike?,Is it your bike?,Is this your bike? | Is this your bike? | Is this your bike?,Is this your bike? | Is this your bike?,Is this your bike?,Is that your bike?
