,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
61782,244539,Yesterday was my birthday.,"Yesterday was my birthday, yesterday was my birthday, yesterday was my birthday.",Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you working? Are you working? Are you working?,Are you working? Are you working? Are you working?,Are you working?,Are you working?
62605,245454,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.
63020,245897,Children need loving.,Kids need love.,Children need to be loved.,Children need people to love them.,Kids need love.
63402,246314,"Stop, or I'll shoot.","Stop, or I'll shoot, or I'll shoot!",Stop or I'll shoot. Stop or I'll shoot. Stop or I'll shoot.,"If you don't stop, I'll shoot you.",Stop or I'll shoot.
64414,247442,Welcome to our home.,Welcome to our home.,Welcome to our house. Welcome to our house. Welcome to our house. Welcome to our house.,Welcome to our house. Welcome to our home.,Welcome to our home!
64711,247763,We try.,We're trying.,Let's try it. Let's try it. Let's try it.,We're trying hard. We're trying hard.,We're trying.
64879,247937,We played soccer yesterday.,We played soccer yesterday.,We played soccer yesterday.,We played soccer yesterday.,We played soccer last night.
65001,248069,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house green.
66839,250101,Please tell me your name.,Please tell me your name.,Please tell me your name. Please tell me his name. Please tell me your name. Please tell me his name.,Please tell me your name. Please tell me your name.,"May I have your dignity, sir?"
66866,250135,Follow me.,"Follow me, follow me, follow me.",Follow me. Follow me. Follow me.,Follow me. Follow me.,Follow me. Follow me.
67038,250327,Do you remember me?,Do you remember who I am?,Do you remember me? Do you remember me... Do you remember me... do you remember me... do you remember me... do you remember me... do you remember me... do you remember me?,Do you remember me?,Do you remember me?
67322,250648,My legs still hurt.,My feet still hurt.,My legs still hurt. My legs still hurt.,My leg still hurts.,My leg still hurts.
67352,250680,He is my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.
67692,251060,Answer me.,Answer me. Answer me. Answer me.,Answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me... answer me.,Answer my question.,Answer me.
68451,251884,Where's my book?,Where's my book? Where's my book? Where's my book?,Where's my book?,Where's my book?,Where's my book?
68790,252254,I played soccer yesterday.,Yesterday I played soccer. I played soccer yesterday.,I played soccer yesterday. I played soccer yesterday.,I played soccer yesterday.,I played soccer last night.
68808,252272,I have a car.,I have a car.,I have a car. I have a car. I have a car.,I have a car.,I have a car.
68816,252280,I like castles.,I love castles. I love castles. I love castles.,I like castles. I like castles.,I like castles.,I like locks.
68823,252287,I am a student.,I'm a student.,I'm a student.,I'm a student. I'm a student.,"I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student, I'm a student,"
69426,252983,I don't drink much wine.,I don't drink much wine.,I don't drink much wine. I don't drink much wine.,I don't drink too much wine.,I don't drink much wine.
70203,253848,I have a computer.,I have a computer.,I have a computer. I have a computer.,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don't know how to spell that word.,I don't know how to spell the word. I don't know how to spell the word.,I don't know how to spell that word. I don't know how to spell that word.,I don't know how to spell that word.
71093,254847,I'm glad to hear that.,Glad to hear it. Good to hear it.,"All right, good for you, good for you, good for her, good for her, good for you, good for her, good for her, good for you, good for you, good for her, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you, good for you.",I'm glad to hear that. I'm glad to hear that.,I'm glad to hear it.
71253,255034,I like chocolate.,I love chocolate.,I like chocolate. I like chocolate.,I like chocolate. I like chocolate.,I like chocolate. I love chocolate.
71273,255055,I hid under the table.,I hid under the table.,"I hid myself under the table. ""I hid under the table. "" I hid under the table. "" I hid under the table. "" I hid under the table. "" I hid under the table. "" I hid under the table. "" I hid under the table. "" I hid under the table.",I hid under the table.,I hid under the table.
71297,255080,I like tennis.,I love tennis.,I like tennis. I like tennis.,I like tennis. I like Japanese rice.,I like tennis.
71529,255340,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York. I'd like to live in New York. I'd like to live in New York. I'd like to live in New York. I'd like to live in New York. I'd like to live in New York. I'd like to live in New York. I'd like to live in New York.,I want to live in New York.,I'd like to live in New York.
71804,255644,I'm happy to see you again.,I'm glad to see you again.,I'm happy to see you again. I'm happy to see you again. I'm happy to see you again. I'm happy to see you again. I'm happy to see you again. I'm happy to see you again.,I'm glad to see you again.,I'm glad to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book.,I gave Mary a book. I gave Mary a book.,I gave Mary a book.,I gave Mary a book.
72048,255926,I like to eat apples.,I love eating apples. I love eating apples. I love eating apples.,I like to eat apples.,I like eating apples.,I like eating apples.
72156,256043,I bought a book.,I bought a book.,I bought a book. I bought a book. I bought a book. I bought a book. I bought a book.,I bought a book.,I bought a book.
72280,256178,I can swim.,I can swim. I can swim. I can swim.,I can swim. I can swim. I can swim. I can swim. I can swim. I can swim. I can swim.,I can swim.,"I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim, I can swim."
72329,256236,I study English.,I'm learning English.,I study English. I study English. I study English. I study English.,I study English.,I study English.
72890,256891,I like fish.,I love fish.,I like fish. I like fish.,I like fish.,I like fish.
72970,256982,I'm going to the bank.,I'm going to the bank.,I'm going to the bank. I'm going to the bank.,I'm going to the bank. I'm going to the bank.,I'm going to the bank.
73077,257112,I like your car.,I like your car.,I like your car. □ I like your car. □ I like your car. □ I like your car. □ I like your car. □ I like your car.,I like your car. I like your car.,I like your car.
73078,257113,I need your help.,I need your help.,I need your help. I need your help. I need your help.,I need your help. I need your help.,I need your help.
73156,257204,I'm married.,I'm married.,I'm married. I'm married. I'm married. I'm married.,I'm married.,I'm married.
73213,257266,I have lost my key.,I lost my key.,I lost my key. I lost my key.,I lost my key. I lost my key. I lost my key.,I lost my key.
73426,257499,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm taking a vacation now.,I'm on vacation.
73674,257783,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.
73698,257809,I was busy yesterday.,Yesterday I was busy.,I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday. I was busy yesterday.,I was busy yesterday.,I was busy yesterday. I was busy yesterday.
73707,257819,I retired last year.,"I retired last year, retired last year, retired last year.",I retired last year. I retired last year. I retired last year. I retired last year. I retired last year. I retired last year.,I retired last year.,I retired last year.
74284,258457,I wrote a letter.,I wrote a letter.,I wrote a letter. I wrote a letter.,I wrote a letter.,I wrote a letter.
74510,258713,I laughed.,I was kidding.,I laughed.,I laughed. I laughed.,I laughed.
74564,258769,I overslept.,I overslept.,I slept too much. I slept too much. I slept too much.,I overslept. I overslept. I overslept.,I overslept.
74638,258845,I know the truth.,I know the truth.,I know the truth. I know the truth. I know the truth. I know the truth.,I know the truth. I know the truth.,I know the truth.
74773,258994,I'm not a student.,I'm not a student. I'm not a student. I'm not a student.,I'm not a student. I'm not a student. I'm not a student. I'm not a student.,I'm not a student. I'm not a student.,I'm not a student.
74799,259020,I have a new red car.,"I got a new car, red.",I have a new red car. I have a new red car. I have a new red car.,I have a red new car.,I've got a new red car.
74809,259030,I've lost my ticket.,I lost my card.,I lost my ticket. I lost my ticket.,I lost my ticket.,I lost my ticket.
74823,259045,I was in London last month.,I was in London last month.,I was in London last month. I was in London last month.,I was in London last month.,I was in London last month.
74847,259069,I am a teacher.,I'm a teacher.,I'm a teacher. I'm a teacher. I'm a teacher.,I'm a teacher.,I'm a teacher.
74848,259070,I am not a teacher.,I'm not a teacher.,I'm not a teacher. I'm not a teacher.,I'm not a teacher.,I'm not a teacher.
74945,259190,I run.,I'm running.,I'm running. I'm running.,I'm running. I'm running.,I'm running.
74984,259233,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.
75037,259288,I'm healthy.,I'm healthy.,I'm in good health.,I'm healthy.,I'm healthy.
75155,259413,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes. I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.
75470,259747,I love reading books.,I love reading books. I love reading books. I really like reading books.,I love reading books. I love reading books.,I like reading. I like reading.,I love reading books.
75593,259880,I do not have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat. I don't have a cat.,I don't have a cat.
76817,261221,I love her.,I love her.,I love her. I love her.,I'm in love with her. I like her. I love her.,I love her.
77052,261477,I'm poor.,I'm poor.,I'm poor. I'm poor. I'm poor. I'm poor.,I'm poor.,I'm poor.
77065,261490,I've never climbed Mt. Fuji.,I've never climbed Mount Fuji.,I never climbed Mount Fuji. I never climbed Mount Fuji.,I've never climbed Mt. Fuji.,I never climbed Mount Fuji.
77275,261721,I'm busy.,I'm busy.,I'm busy. I'm busy. I'm busy. I'm busy. I'm busy. I'm busy. I'm busy. I'm busy. I'm busy. I'm busy.,I'm busy.,I'm busy.
77387,261849,I run every day.,I run every day.,I run every day. I run every day.,I run every day. I run every day.,I run every day.
77726,262220,I live with my parents.,I live with my parents. I live with my parents. I live with my parents.,I live with my parents. I live with my parents. I live with my parents. I live with my parents. I live with my parents. I live with my parents. I live with my parents.,I live with my parents. I live with my parents.,I live with my parents.
77743,262240,I like apples.,I love apples.,I like apples. I like apples.,I like apples. I like apples.,I like apples.
77810,262315,I broke my arm.,I broke my arm.,I broke my arm. I broke my arm. I broke my arm.,I broke my arm.,I broke my arm.
77834,262339,"I think so, too.","I think so, too.","That's what I think, too.","I think so, too.",That's what I think.
77908,262424,Please help me.,Please help me.,"Please help me. Please help me. Please help me. Please help me. Please help me. Please help me. Please help me, please. Please help me. Please help me. Please help me. Please help me. Please help me. Please help me. Please help me.",Please help me. Please help me. Please help me.,Please help me. Please help me. Please help me.
78717,263406,Poets write poems.,Poets write poetry.,The poets write poetry. The poets write poetry.,Poets write poetry.,Poets write poems.
79144,263886,Time flies.,Time flies.,Time flies.,Time flies. Time flies. Time flies away.,Time flies.
79970,264824,Respect yourself.,Respect yourself.,Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself. • Respect yourself.,Take care of yourself.,Respect yourself.
80319,265233,What actually happened?,What actually happened?,What really happened? What actually happened? What really happened?,What happened? What really happened?,What really happened?
80482,265406,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car. I wish I had a car.,I wish I had a car.
80569,265500,Drive carefully.,"Drive safe, drive safe, drive safe, drive safe, drive safe.",Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution. • Drive with caution.,Careful driving your car.,Drive carefully.
80570,265501,Do you know how to drive a car?,Do you know how to drive a car?,Do you know how to drive a car? Do you know how to drive a car?,Do you know how to drive a car?,Can you drive a car?
81054,266051,Can I help?,Can I help? Can I help? Can I help?,Can I help? Can I help?,Can I help you?,Can I help you?
81063,266065,Help me.,Help me!,Help me. Help me. Help me.,Please help me.,Help me.
81369,266400,Practice makes perfect.,Practice makes perfect.,Practice makes you perfect. □ Wrong you learn.,Practice is a master's way. The practice is complete. You get used to it better.,Practice makes master.
81701,266790,Get out!,Get out! Get out! Get out!,Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out!,Get out!,Get out!
82881,268087,Get down!,Get off!,"Come down, come down, come down, come down!",Get down on the ground!,Get down!
83562,268828,Unbelievable!,Unbelievable! Unbelievable! Unbelievable!,Unbelievable!,I can't believe it!,Unbelievable!
84767,270147,Are you kidding?,Are you kidding?,Are you kidding me?,Don't make fun of people.,Are you kidding me?
86352,271901,Try hard.,Try very hard.,Try hard. Try hard. Try hard.,Try your best.,Try hard.
86481,272043,Keep quiet.,Keep it down.,It's okay. It's okay. It's okay. It's okay. It's okay. It's okay. It's okay.,Keep quiet. Keep quiet.,Be quiet.
87954,273621,See above.,See above. See above. ▪ See above.,See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above. • See above.,See the last reference. See the above reference.,Look higher.
88018,273694,Everything went smoothly.,Everything went smoothly.,Everything went smoothly.,Everything went well. Everything went smoothly.,Everything went smoothly.
88107,273786,I have no idea.,I have no idea. I don't know anything about it.,I have no idea. I have no idea.,I don't know at all.,I have no idea.
88478,274210,Open the window.,Open the window. Open the window. Open the window.,Open the window.,Open the window. Open the window.,Open the window.
88496,274237,Close the window.,"Close the window, close the window, close the window.",Close the window. Close the window. Close the window. Close the window.,Close the window.,Close the window.
89422,275276,I am exhausted.,I'm exhausted.,"I'm tired, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted, I'm exhausted.",I'm exhausted. I'm exhausted. I'm exhausted.,I'm exhausted.
89857,275743,Are you all right?,Are you all right? Are you all right?,Are you okay? Are you okay?,Are you okay?,Are you okay?
90203,276105,Is anybody here?,Anybody here?,Is anyone here? Is anyone here?,Hello? Hello? Is anyone there?,Is anybody here?
90204,276106,Is somebody there?,Is anybody here?,Is anyone there? Is anyone there?,Hello? Hello? Is anyone there?,Anybody home?
90373,276298,Is anybody home?,"Anybody home, anybody home, anybody home?",Anybody home?,Is anyone home?,Anybody home?
90434,276369,Who knows?,Who knows?,Who knows?,No one knows. I don't know. I don't know who knows.,Who knows? Who knows?
90652,276629,No one helped me.,No one was there for me.,Nobody helped me.,Nobody helped me.,Nobody helped me.
90948,276955,It's too expensive.,It's too expensive. lt's too expensive!,It's too expensive. It's too expensive. It's too expensive. It's too expensive. It's too expensive.,It's too expensive! It's too expensive!,It's too expensive!
90985,276998,Ignorance is bliss.,"Whatever you know, it won't hurt.",Ignorance is happiness. Ignorance is bliss. Ignorance is joy.,Intellectuality is happiness.,"What eyes can't see, that heart doesn't regret."
91027,277046,Knowledge is power.,Knowledge is power.,Knowledge is power. Knowing is power.,Knowledge is power.,Knowledge is power.
91406,277466,Let me in.,"Let me in, let me in, let me in.","Let me in, let me in, let me in.",Please let me in too. Please let me in too. Please let me in too.,Let me in. Let me in.
91640,277720,Stop talking.,Stop talking. Stop talking. Stop talking.,Stop talking.,Stop talking. Stop talking.,Stop talking.
91688,277773,Breakfast is ready.,Breakfast is ready.,Breakfast is ready.,The breakfast is ready.,Breakfast is ready. Breakfast is ready.
92046,278174,Birds sing.,"Birds sing, birds sing, birds sing.",Birds sing.,The bird will sing. The bird will sing. The bird will sing.,Birds sing.
92080,278213,Birds fly.,Birds fly.,Birds fly.,Birds fly.,Birds fly.
92087,278220,Birds lay eggs.,Chickens lay eggs.,Birds lay eggs.,Birds lay eggs.,Birds lay eggs. Birds lay eggs.
92373,278535,It's my brother's.,It belongs to my brother. lt's my brother's. lt's my brother's.,It's my brother's.,It's my brother's.,This is my brother's.
92441,278606,Don't give up!,Don't give up!,Don't give up! Don't give up!,Don't give up. Don't give up.,Don't give up! Don't give up!
92944,279153,Turn off the light.,Turn off the light.,"Turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light, turn off the light.",Turn off the light.,Turn off the light. Turn off the light.
93063,279284,Answer the phone.,Pick up the phone.,Pick up the phone. Pick up the phone. Pick up the phone.,Answer the phone.,Pick up the phone.
93811,280125,My head aches.,"I have a headache, my head hurts, my head hurts.",I have a headache.,My head hurts. I have a headache. I have a headache on my head. I have a headache on my head.,My head hurts.
93842,280162,Cool off!,Calm down!,Relax! Relax! Relax! Relax! Relax!,Calm down.,Calm down!
94051,280393,Are you lost?,Did you get lost?,Are you lost?,Are you lost? - Are you lost?,Are you lost?
94219,280576,Are you single?,Are you free?,Are you single? Are you single? Are you single?,Are you single?,Are you single?
94881,281301,Have you decided to go to Japan?,You decided to go to Japan?,Have you decided to go to Japan? Have you decided to go to Japan? have you decided to go to Japan? have you decided to go to Japan? have you decided to go to Japan? have you decided to go to Japan? have you decided to go to Japan? have you decided to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,281606,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.
95175,281616,Welcome to Japan.,Welcome to Japan.,Welcome to Japan. Welcome to Japan. Welcome to Japan. Welcome to Japan.,Welcome to Japan.,Welcome to Japan.
95690,282197,Years passed.,Years passed.,The years passed.,It's been years.,It's been years.
95715,282225,I am eighteen years old.,I'm 18 years old.,I'm 18 years old. I'm 18 years old.,I'm 18 years old. I'm 18 years old. I'm 18 years old.,I'm 18 years old.
95938,282462,My back still hurts.,My back still hurts.,My back still hurts.,My back still hurts.,My back still hurts.
96815,283413,Guess what he told me.,Guess what he told me.,Guess what he told me. Guess what he told me. Guess what he told me.,Guess what he said.,Guess what he told me?
97008,283629,I like him.,I like him. I like him. I like him.,I like him. I like him.,I like him.,I like him.
98404,285184,Grab him.,Get him.,Grab him. Grab him. Grab him. Grab him.,Get him.,Catch him.
99624,286516,Forget him.,Forget him. Forget him.,Forget about him. Forget about him. Forget about him. Forget about him. Forget about him. Forget about him. Forget about him. Forget about him. Forget about him. Forget about him.,Forget about him.,Forget about him.
100128,287067,He has long legs.,He's got long legs.,He's got long legs. He's got long legs.,He has long legs.,He's got long legs.
101076,288121,He has a dog.,He's got a dog.,He has a dog. He has a dog.,He has a dog.,He's got a dog.
101119,288166,He tries.,He's trying.,Try it. Try it. Try it.,He's going to try it. He's going to try it.,He's trying. He's trying.
101596,288669,He is a DJ.,He's a DJ.,He's a DJ. He's a DJ.,He's a DJ.,He's a DJ.
101885,288982,How old is he?,How old is he?,How old is he?,How old is he? &lt;i&gt;How old is he? &lt;i&gt;How old is he? &lt;i&gt;How old is he?&lt;/i&gt; &lt;i&gt; How old is he?&lt;/i&gt; &lt;i&gt; How old is he?&lt;/i&gt;,How old is he?
102029,289132,He is always with me.,He's always with me.,He's always with me. He's always with me.,He's always with me.,He's always with me.
102666,289812,He doesn't like coffee.,He doesn't like coffee.,He doesn't like coffee. He doesn't like coffee.,He doesn't like coffee. I don't like coffee.,He doesn't like coffee.
102873,290025,He likes playing soccer.,He likes to play soccer.,He likes to play soccer.,He likes playing soccer best.,He likes to play soccer.
103154,290321,He accelerated.,He sped up.,He's sped up.,He got faster.,He's speeding up.
104354,291622,He eats a lot.,He eats a lot.,He eats a lot.,He eats a lot.,He eats a lot.
104393,291665,He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking. He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking.
104582,291872,He played tennis.,He played tennis.,He played tennis. He played tennis.,He played tennis.,He played tennis.
104778,292088,He's very ill.,He's very sick.,He's very sick.,He's very sick.,He's very sick.
105129,292468,He became a pianist.,He became a pianist.,He became a pianist. He became a pianist. He became a pianist. He became a pianist. He became a pianist. He became a pianist. He became a pianist.,He became a pianist.,He became a pianist.
105267,292619,He can also speak French.,He can speak French too.,He can also speak French. He can also speak French. He can also speak French.,He can also speak French.,"He can speak French, too."
106651,294141,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife. He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife.
107427,294993,He knows a lot of people.,He knows a lot of people.,He knows many people.,He has a wide face.,He knows a lot of people.
107699,295297,He's strong.,He's strong.,He's strong. He's strong.,He's strong.,He's strong.
107748,295346,He is a teacher.,He's a teacher.,He's a teacher. He's a teacher.,He's a teacher.,He's a teacher.
107795,295395,He fell backward.,He fell backwards.,He fell backwards. He fell backwards. He fell backwards. He fell backwards.,He fell on his back.,He fell backwards.
108019,295648,He's stronger than you.,He's stronger than you.,He is stronger than you. He is stronger than you. He is stronger than you. He is stronger than you. He is stronger than you. He is stronger than her. He is stronger than her.,He's stronger than you.,He's stronger than you.
108606,296292,He works in a factory.,He works at a factory.,He works in a factory. He works in a factory.,He works in a factory.,He works at the factory.
108608,296294,He is happy.,He's happy.,He's happy.,He's happy.,He's happy.
109160,296902,He died yesterday.,He died yesterday.,He died yesterday. He died yesterday. He crashed yesterday. He crashed yesterday.,He died yesterday.,He died yesterday.
109766,297564,He lied to me.,He lied to me.,She lied to me. She lied to me.,He lied to me.,He lied to me.
110193,298043,He speaks English better than I do.,He speaks English better than I do.,He speaks English better than I do. He speaks English better than I do.,He speaks English better than I do. He speaks English better than I do.,He speaks English better than I do.
110575,298463,He tried to kill himself.,He tried to kill himself.,He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself. He tried to kill himself.,He tried to kill himself.,He tried to kill himself.
110579,298467,He committed suicide.,He killed himself. He lost himself to know.,He killed himself. He killed himself. He killed himself. He killed himself. He committed suicide. He committed suicide. He committed suicide.,He committed suicide.,He committed suicide.
111763,299788,He is eating.,He's eating.,He's eating. He's eating.,He's eating.,He's eating.
111790,299819,Is he sleeping?,Is he asleep? Is he asleep?,Is he asleep?,Is he sleeping?,Is he asleep?
111946,299984,He told the truth.,He was telling the truth.,He said the truth. He said the truth. He said the truth. He said the truth. He said the truth. He said the truth.,He told the truth.,He told the truth.
113611,301814,He's talking on the telephone.,He's on the phone.,He's talking on the phone. He's talking on the phone.,He's talking on the phone.,He's on the phone.
114148,302395,He is not stupid.,He's not stupid.,He's not stupid. He's not stupid.,He's not stupid.,He's not stupid.
114157,302406,Is he tall?,Is he tall?,Is he tall? Is he tall?,Is he tall?,Is he tall?
114194,302443,He is a friendly person.,He's a friendly man.,He's a nice person. He's a friendly person. He's a friendly person.,He's a friendly person. He's a friendly person.,He's a friendly person.
115351,303714,He likes adventure.,He loves adventure.,He likes adventure. He likes adventure.,He likes adventure.,He likes adventure. He likes adventure.
115573,303959,He is asleep.,He's asleep.,He's asleep. He's asleep.,He's asleep.,He's sleeping.
115912,304339,He's an excellent brain surgeon.,He's a great brain surgeon.,He's an excellent brain surgeon. He's an excellent brain surgeon.,He's an excellent brain surgeon.,He's a great brain surgeon.
116868,305382,They are actors.,They're actors.,They're actors. They're actors.,They're actors.,They're actors.
116995,305514,They don't always obey their parents.,They don't always listen to their parents.,They don't always obey their parents. They don't always obey their parents. They don't always obey their parents. They don't always obey their parents.,They don't always obey their parents.,They don't always listen to their parents.
117401,305951,They hated Tom.,They hated Tom.,"They hated Tom. ""They hated Tom.",They hated Tom.,They hated Tom.
118204,306813,They went to Chicago by car.,They drove a car to Chicago.,They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car. • They went to Chicago by car.,They drove to Chicago.,They went to Chicago by car.
118642,307284,Are they Japanese?,Are they Japanese?,Are they Japanese? Are they Japanese?,Are they Japanese?,Are they Japanese? Are they Japanese?
119825,308580,She opened the door.,She opened the door.,She opened the door. She opened the door. She opened the door. She opened the door.,She opened the door.,She opened the door.
121111,309976,She tried.,She tried.,She tried. She tried. She tried. She tried.,She tried.,She tried.
121341,310214,She is eight.,"She's eight years old, she's eight years old.",She's eight years old. She's eight years old.,She's eight years old.,She's eight years old.
121613,310506,When was she born?,When was she born?,When was she born? When was she born?,When was she born?,When was she born?
122819,311795,She is very intelligent.,She's very intelligent.,You're very smart. You're very smart.,"She's very smart. I mean, she's very smart. She's very smart. She's very intelligent. She's very intelligent.",She's very intelligent.
122851,311828,She loves Tom.,She loves Tom.,She loves Tom. She loves Tom.,She loves Tom.,She loves Tom. She loves Tom.
122914,311898,She smiled.,She smiled.,She smiled. She smiled. She smiled. She smiled.,She smiled.,She smiled.
123110,312110,She can speak French.,She speaks French.,She can speak French. She can speak French. She can speak French. She can speak French. She can speak French. She can speak French. She can speak French. She can speak French.,She can speak French.,She can speak French. She speaks French.
123125,312125,Does she speak French?,Does she speak French? Does she speak French? Does she speak French?,Do you speak French?,Does she speak French?,Does she speak French?
123168,312168,She is my girlfriend.,She's my friend.,She's my girlfriend. She's my girlfriend. She's my girlfriend. She's my girlfriend. She's my girlfriend. She's my girlfriend.,She's my girlfriend.,She's my girlfriend.
123555,312575,She worked hard.,She worked hard.,She worked hard. She worked hard.,She worked hard.,She worked hard.
123811,312850,She went home.,She went home.,She went home. She went home.,She came home.,She went home.
124038,313091,She almost drowned.,She almost drowned.,She almost drowned. She almost drowned.,She almost drowned.,She almost drowned.
124133,313193,She cried.,She was crying.,She cried. She cried. She cried. She cried.,She cried.,She was crying.
124299,313373,Does she know you?,Does she know you?,Does she know you?,Does she know you?,Does she know you?
