,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
61013,243711,The worst is over.,The worst is over.,The worst is over. The worst is over.,The worst is over.,The worst is over.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday. ♪ Yesterday was my birthday. ♪ Yesterday was my birthday. ♪ Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you working? Are you working? Are you working?,Are you working?,Are you working?,Do you work?
62605,245454,I'm looking for a job.,I'm looking for a job. I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.
63020,245897,Children need loving.,Children need love.,Children need love.,Children need to be loved.,Children need love.
63402,246314,"Stop, or I'll shoot.","Wait, I'm gonna shoot.",Stop or I'll shoot.,"Stop, or I'll shoot.","Stop, I'll shoot."
64414,247442,Welcome to our home.,Welcome to our home.,Welcome to our home.,Welcome to our home.,Welcome to our home.
64711,247763,We try.,We're trying.,We tried.,We try. We try.,We're trying.
64879,247937,We played soccer yesterday.,We played football yesterday. ♪ We played football yesterday.,We played football yesterday.,We played football yesterday.,We played football yesterday.
65001,248069,We painted the house green.,We painted the house with green paint.,We painted the house green.,We painted the house green.,We painted the house green.
66839,250101,Please tell me your name.,Please tell me your name. Please tell me your name. Please tell me your name.,Please tell me your name.  Tell me your name.  Please tell me your name.  Please tell me your name.,Please tell me your name.,Please tell me your name.
66866,250135,Follow me.,Follow me. Follow me. Follow me. Follow me.,Follow me. Follow me. Follow me. Follow me. Follow me.,Follow me.,Follow me.
67038,250327,Do you remember me?,Do you remember me? Do you remember me? Do you remember me?,Do you remember me? Do you remember me? Do you remember me? Do you remember me? Do you remember me?,Do you remember me? Do you remember me?,Do you remember me?
67322,250648,My legs still hurt.,My legs still hurt.,My legs still hurt.,My legs still hurt.,My legs still hurt.
67352,250680,He is my brother.,He's my brother.,He's my brother. He's my brother.,He's my brother.,He's my brother.
67692,251060,Answer me.,Answer me. Answer me. Answer me.,Answer me.  Answer me.  Answer me.  Answer me.,Answer me.,Answer me.
68451,251884,Where's my book?,Where's my book? Where's my book?,Where's my book?,Where is my book?,Where is my book?
68790,252254,I played soccer yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.
68808,252272,I have a car.,I've got a car. I've got a car.,I've got a car. I've got a car.,I have a car.,I have a car.
68816,252280,I like castles.,I like locks.,I like castles.,I like castles.,I like castles.
68823,252287,I am a student.,I'm a student.,I'm a student. I'm a student.,I am a student. I am a student.,I'm a student. I'm a student.
69426,252983,I don't drink much wine.,I don't drink a lot of wine.,I don't drink much wine.,I don't drink much wine.,I don't drink a lot of wine.
70203,253848,I have a computer.,I have a computer.,I have a computer. I have a computer.,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don't know how to spell that word.,I don't know how to spell the word.,I don't know how to spell the word.,I don't know how to write that word.
71093,254847,I'm glad to hear that.,I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad for you. I'm glad for you.,I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it. I'm glad to hear it.,I'm glad to hear it.,I'm glad to hear it.
71253,255034,I like chocolate.,I like chocolate. I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.
71273,255055,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table. I hid under the table.,I hid under the table.
71297,255080,I like tennis.,I like tennis. I love tennis.,I like tennis.,I love tennis.,I like tennis.
71529,255340,I'd like to live in New York.,I'd like to live in New York. I'd like to live in New York.,I'd like to live in New York.,I want to live in New York.,I'd like to live in New York.
71804,255644,I'm happy to see you again.,It's good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again. It's so good to see you again.,It's good to see you again. It's good to see you again. It's good to see you again.,I'm happy to see you again.,I'm glad to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book. ♪ I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book. I gave Mary a book.
72048,255926,I like to eat apples.,I like eating apples.,I like to eat apples.,I like to eat apples. I like to eat apples.,I like eating apples.
72156,256043,I bought a book.,I bought a book. I bought a book.,I bought a book.,I bought a book.,I bought a book. I bought a book.
72280,256178,I can swim.,I can swim.,I can swim. I can swim.,I can swim. I can swim.,I can swim.
72329,256236,I study English.,I'm learning English. I'm learning English.,I study English.,I study English.,I'm learning English. I'm learning English. I'm learning English.
72890,256891,I like fish.,I love fish.,I like fish. I like fish.,I like fish.,I like fish.
72970,256982,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.
73077,257112,I like your car.,I like your car. ♪ I like your car. ♪ I like your car. ♪ I like your car.,I like your car. I like your car. I like your car.,I like your car. I like your car.,I like your car.
73078,257113,I need your help.,I need your help. I need your help. I need your help. I need your help.,I need your help.,I need your help.,I need your help.
73156,257204,I'm married.,I'm married. I'm married.,I am married. I am married. I am married. I am married. I am married.,I'm married.,I'm married. I'm married.
73213,257266,I have lost my key.,I lost my key. ♪ I lost my key. ♪ I lost my key. ♪ I lost my key.,I lost the key. I lost my key.,I lost my key. I lost my key. I lost my key.,I have lost my key.? I have lost my key.... I have lost my key... I have lost my key.
73426,257499,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.
73674,257783,He wrote a letter yesterday.,He wrote a letter yesterday. ♪ He wrote a letter yesterday. ♪ He wrote a letter yesterday.,Yesterday he wrote a letter. He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.
73698,257809,I was busy yesterday.,I was busy yesterday. ♪ I was busy yesterday. ♪ I was busy yesterday. ♪ I was busy yesterday. ♪ I was busy yesterday.,Yesterday I was busy. Yesterday I was busy.,I was busy yesterday.,I was busy yesterday.
73707,257819,I retired last year.,I retired last year.,I retired last year.,I retired last year. I retired last year.,I quit last year.
74284,258457,I wrote a letter.,I wrote a letter. I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.
74510,258713,I laughed.,I laughed. ♪ I laughed. ♪ I laughed.,I laughed.,I laughed.,I laughed.
74564,258769,I overslept.,I'm asleep. I'm asleep.,I fell asleep.,I fell asleep.,I slept.
74638,258845,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.
74773,258994,I'm not a student.,I'm not a student. I'm not a student. I'm not a student.,I'm not a student. I'm not a student.,I am not a student. I am not a student.,I'm not a student. I'm not a student.
74799,259020,I have a new red car.,I've got a new red car. ♪ I've got a new red car.,I have a new red car. I have a new red car.,I have a new red car.,I have a new red car.
74809,259030,I've lost my ticket.,I lost my ticket. ♪ I lost my ticket.,I lost my ticket. I lost my ticket. I lost my ticket.,I lost my ticket.,I have lost my ticket. I have lost my ticket.
74823,259045,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.
74847,259069,I am a teacher.,I'm a teacher. I'm a teacher. I'm a teacher.,I am a teacher. I am a teacher. I am a teacher.,I'm a teacher.,I'm a teacher. I'm a teacher.
74848,259070,I am not a teacher.,I'm not a teacher. I'm not a teacher.,I'm not a teacher.,I am not a teacher. I am not a teacher. I am not a teacher.,I'm not a teacher.
74945,259190,I run.,I'm running.,I run. I run.,I run.,I run.
74984,259233,I'm proud of my son.,I'm proud of my son.,I'm proud of my son. I'm proud of my son.,I'm proud of my son.,I'm proud of my son.
75037,259288,I'm healthy.,I'm fine. I'm fine.,I'm healthy.,I'm healthy.,I'm healthy.
75155,259413,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.
75470,259747,I love reading books.,I love reading books. I love reading books.,I like reading books. I love reading books.,I like reading books. I like reading books. I like reading books.,I like reading books.
75593,259880,I do not have a cat.,I don't have a cat.,I don't have a cat. I don't have a cat.,I don't have a cat.,I don't have a cat.
76817,261221,I love her.,I love her. I love her.,I love her. I love her.,I love her.,I love her.
77052,261477,I'm poor.,I'm poor. I'm poor. I'm poor.,I'm poor.,I'm poor.,I'm poor.
77065,261490,I've never climbed Mt. Fuji.,I've never climbed Fujiama. ♪ I've never climbed Fuji Mountain.,I've never climbed Mount Fuji.,I never climbed Mt.Fuji.,I've never climbed Mt. Fuji.
77275,261721,I'm busy.,I'm busy. I'm busy.,I'm busy.,I'm busy. I'm busy.,I'm busy.
77387,261849,I run every day.,I run every day.,I run every day.,I run every day. I work every day.,I run every day.
77726,262220,I live with my parents.,I live with my parents.,I live with my parents. I live with my parents.,I live with my parents.,I live with my parents.
77743,262240,I like apples.,I love apples.,I like apples.,I like apples.,I like apples.
77810,262315,I broke my arm.,I broke my arm. ♪ I broke my arm. ♪ I broke my arm. ♪ I broke my arm.,I broke my arm. I broke my arm.,I broke my arm.,I broke my arm.
77834,262339,"I think so, too.","I think so, too.",I think so too. I think so too. I think so too.,"I think so too. I think so, too.","I think so, too."
77908,262424,Please help me.,Please help me. Please help me. Please help me.,"Please give me a hand. Please help me. Help me, please.",Please help me.,Please help me.
78717,263406,Poets write poems.,Poets write poems.,Poets write poems.,"Poets write poems, poets write poems.",Poets write poems.
79144,263886,Time flies.,Time flies.,Time flies.,Time passes quickly. Time flies away. Time flies away. Time passes by.,Time flies.
79970,264824,Respect yourself.,Respect yourself. ♪ Respect yourself. ♪,Respect yourself.,Have some self-respect.,Respect yourself.
80319,265233,What actually happened?,What really happened? ♪ What really happened? ♪ What happened at all? ♪ What happened at all? ♪ What happened at all?,What really happened?,What really happened?,What really happened?
80482,265406,I wish I had a car.,I wish I had a car. ♪ Sorry I didn't have a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.
80569,265500,Drive carefully.,Drive carefully. ♪ Drive carefully. ♪ Drive carefully. ♪ Drive carefully.,Drive carefully.,Drive safe.,Drive carefully.
80570,265501,Do you know how to drive a car?,Do you know how to drive a car?,Do you know how to drive? Do you know how to drive? Do you know how to drive? Do you know how to drive? Do you know how to drive? Do you know how to drive? Do you know how to drive? Do you know how to drive?,Do you know how to drive?,Do you know how to drive a car?
81054,266051,Can I help?,Can I help you?,Can I help?,Can I help you?,Can I help you?
81063,266065,Help me.,Help me. Help me. Help me.,Help me. Help me. Help me. Help me. Help me. Help me.,Help me.,Help me.
81369,266400,Practice makes perfect.,Practice is the way to perfection. ♪ Practice is getting worse.,Practice makes perfection. Practice makes the master.,"Practice makes perfect. Practice makes master. The more the knife is beaten, the sharper it becomes.",Practice is the path to perfection.
81701,266790,Get out!,Get out! Get out! Get out! Get out!,Get out!,Get out of here!,Get out of here!
82881,268087,Get down!,Get down on the floor!,Get down! Get down! Get down!,Slow down!,Come downstairs!
83562,268828,Unbelievable!,It's incredible! It can't be!,That's amazing!,I can't believe it!,Unbelievable!
84767,270147,Are you kidding?,Are you kidding? Are you kidding?,Are you kidding me? are you kidding me? are you kidding me? are you kidding me? are you kidding me Are you kidding me? are you kidding me?,Are you kidding me?,Are you kidding?
86352,271901,Try hard.,Do your best.,You really try.,Try as hard as you can.,Make an effort.
86481,272043,Keep quiet.,Shut up.,Stay calm.,"Calm down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down, quiet down.",Be quiet. יהוה Tisha........ keep quiet.
87954,273621,See above.,Look up.,See above.,Look up there.,See above.
88018,273694,Everything went smoothly.,It went smoothly. ♪ It went well. ♪ It went well.,Everything went well. Everything went well.,Everything went fine.,Everything went smoothly.
88107,273786,I have no idea.,I have no idea.,I have no idea.,I have no idea.,I have no idea.
88478,274210,Open the window.,Open the window. Open the window. Open the window!,Open the window.,Open the window.,Open the window.
88496,274237,Close the window.,Close the window. Close the window.,Close the window. Close the window.,Close the window. Close the window.,Close the window!
89422,275276,I am exhausted.,I'm exhausted. I'm tired like a dog.,I'm exhausted. I'm exhausted. I'm exhausted.,I'm so tired.,I'm exhausted.
89857,275743,Are you all right?,Are you okay? ♪ What's wrong with you? ♪ You're okay? ♪ You're okay? ♪ You're okay?,Are you okay?,Are you okay?,Are you okay?
90203,276105,Is anybody here?,Is anyone there? ♪ Is anyone here ♪ ♪ Is anyone there? ♪ Is anyone there?,Is anyone here?,Is anyone here?,Is there anyone here?
90204,276106,Is somebody there?,Hello?,Is anyone there?,Is anyone there?,Is anyone there?
90373,276298,Is anybody home?,Anybody home? ♪ Anybody home? ♪ Anybody home? ♪ Anybody home? ♪ Anybody home?,Anybody home?,Anybody home?,Is anybody home?
90434,276369,Who knows?,Who knows?,Who knows? Aabe...,Who knows?,Who knows?
90652,276629,No one helped me.,No one helped me. No one helped me.,No one helped me.,No one helped me.,Nobody helped me.
90948,276955,It's too expensive.,It's too expensive. It's too expensive!,It's too expensive. It's too expensive! It's too expensive!,It's too expensive. It's too expensive!,Too expensive.
90985,276998,Ignorance is bliss.,"You know less, you sleep harder. ♪ Ignorance is grace. ♪ Ignorance is good. ♪ Happiness in ignorance.",Ignorance is a blessing.,Ignorance is happiness.,You don't know much less how to sleep.
91027,277046,Knowledge is power.,Knowledge is power. Knowledge is power.,Knowledge is power. Knowledge is power.,Knowledge is power.,Knowledge of the power.
91406,277466,Let me in.,Let me in. Let me in. Let me in.,Let me in. Let me in.,Let me in.,Let me in.
91640,277720,Stop talking.,Stop talking. ♪ Stop talking. ♪ Stop talking. ♪ Stop talking. ♪ Stop talking.,Shut up. Stop talking.,Stop talking.,Stop talking.
91688,277773,Breakfast is ready.,Breakfast is ready!,Breakfast's ready.,Breakfast is ready.,Breakfast is ready.
92046,278174,Birds sing.,Birds sing. ♪ Birds sing.,Birds sing. The birds are singing.,Birds sing.,Birds sing.
92080,278213,Birds fly.,Birds fly.,Birds fly.,"Birds fly, birds fly.",Birds fly.
92087,278220,Birds lay eggs.,Birds carry eggs.,Birds lay eggs.,Birds lay eggs.,Birds lay eggs.
92373,278535,It's my brother's.,It's my brother's.,It's my brother's. It's my brother's.,That's my brother's.,It's my brother's.
92441,278606,Don't give up!,Don't give up! Don't give up. Don't give up!,Don't throw in the towel. Don't give up!,Don't give up!,Don't give up!
92944,279153,Turn off the light.,Turn off the light. ♪ Turn off the light. ♪ Turn off the light. ♪ Turn off the light. ♪ Turn off the light.,Turn off the light.,Turn off the light.,Turn off the light.
93063,279284,Answer the phone.,Answer the phone. ♪ Come to the phone. ♪ Pick up the phone. ♪ Pick up the phone. ♪ Come to the phone.,Pick up the phone.,Answer the phone. Answer the phone.,Pick up the phone.
93811,280125,My head aches.,I have a headache.,My head hurts.,I have a headache.,My head hurts.
93842,280162,Cool off!,Calm down!,Calm down!,Calm down!,Calm down!
94051,280393,Are you lost?,Are you lost? Are you lost? Are you lost?,Are you lost? Are you lost? Are you lost?,Are you lost?,Are you lost?
94219,280576,Are you single?,You're not married? You're not married? You're not married?,Are you single?,Are you single?,Do you have anyone?
94881,281301,Have you decided to go to Japan?,Did you decide to go to Japan? ♪ Did you decide to go to Japan? ♪ Did you decide to go to Japan? ♪ Did you decide to go to Japan? ♪ Did you decide to go to Japan?,Did you decide to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,281606,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.
95175,281616,Welcome to Japan.,Welcome to Japan.,Welcome to Japan. Welcome to Japan.,Welcome to Japan.,Welcome to Japan.
95690,282197,Years passed.,It's been years. It's been years.,Years passed.,It's been years.,Years passed.
95715,282225,I am eighteen years old.,I'm 18 years old.,I'm eighteen.,I am 18 years old. I am eighteen years old. I am eighteen years old.,I'm eighteen years old.
95938,282462,My back still hurts.,I still have a pain in my back. ♪ I still have a pain in my back.,My back still hurts.,My back still hurts.,I still have a backache.
96815,283413,Guess what he told me.,Guess what he told me. ♪ Guess what he told me. ♪ Guess what he told me.,Guess what he told me.,Guess what he told me.,Guess what he told me.
97008,283629,I like him.,I like him. ♪ I like him. ♪ I like him. ♪ I like him.,I like him. I like him. I like him. I like him.,I like him.,I like him.
98404,285184,Grab him.,Grab him. Grab him.,Grab him.,Catch him. Catch him! Catch him!,Grab him.
99624,286516,Forget him.,Forget him. Forget him.,Forget it. Forget it.,Forget about him.,Forget him.
100128,287067,He has long legs.,He's got long legs.,He's got long legs.,He has long legs.,He has long legs.
101076,288121,He has a dog.,He's got a dog. ♪ He's got a dog. ♪ He's got a dog.,He's got a dog. He's got a dog.,He has a dog.,He has a dog.
101119,288166,He tries.,He's trying.,He's trying. He's trying.,He'll try.,He's trying.
101596,288669,He is a DJ.,He's a DJ.,He's a DJ.,He's a DJ. He's a DJ.,He's a DJ.
101885,288982,How old is he?,How old is he?,How old is he?,How old is he?,How old is he?
102029,289132,He is always with me.,He's always with me.,He's always with me.,He's always with me.,He's always with me.
102666,289812,He doesn't like coffee.,He doesn't like coffee. ♪ He doesn't like coffee.,He doesn't like coffee.,He doesn't like coffee. He doesn't like coffee.,He doesn't like coffee.
102873,290025,He likes playing soccer.,He likes to play football. He likes to play football.,He likes to play football.,He likes to play football.,He likes to play football.
103154,290321,He accelerated.,He's speeding up.,He accelerated.,He sped up.,He accelerated.
104354,291622,He eats a lot.,He eats a lot.,He eats a lot. He eats a lot.,He eats a lot.,He eats a lot.
104393,291665,He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking.
104582,291872,He played tennis.,He played tennis.,He played tennis.,He played tennis.,He played tennis.
104778,292088,He's very ill.,He's very sick.,He's very sick.,He is very sick.,He is very ill.
105129,292468,He became a pianist.,He became a pianist.,He became a pianist.,He became a pianist.,He became a pianist.
105267,292619,He can also speak French.,He also speaks French. ♪ He speaks French. ♪ He also speaks French. ♪ He also speaks French. ♪ He also speaks French. ♪ He also speaks French.,He also speaks French.,He can also speak French.,He also speaks French.
106651,294141,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife.
107427,294993,He knows a lot of people.,He knows a lot of people.,He knows a lot of people.,He knows a lot of people.,He knows many people.
107699,295297,He's strong.,He's strong.,He's strong.,He's strong.,He's strong.
107748,295346,He is a teacher.,He's a teacher. He's a teacher.,He's a teacher.,He's a teacher.,He is a teacher.
107795,295395,He fell backward.,He fell on the inside.,He fell back.,He fell back.,He fell on his back.
108019,295648,He's stronger than you.,He's stronger than you. He's stronger than you.,He is stronger than you. He is stronger than you. He is stronger than you.,He is stronger than you.,He is stronger than you.
108606,296292,He works in a factory.,He works at the factory.,He works in a factory.,He works in a factory.,He works in a factory.
108608,296294,He is happy.,He's happy.,He is happy. He is happy. He is happy.,She's happy.,He's happy.
109160,296902,He died yesterday.,He died yesterday. ♪ He died yesterday.,He died yesterday. He beat her yesterday. He died yesterday. He died yesterday.,He died yesterday.,He died yesterday.
109766,297564,He lied to me.,He lied to me. ♪ He lied to me. ♪ He lied to me.,He lied to me.,He lied to me.,He lied to me.
110193,298043,He speaks English better than I do.,He speaks English better than I do. He speaks English better than I do.,He speaks English better than I do. He speaks English better than I do.,He speaks English better than I do. He speaks English better than I do.,He speaks English better than I do.
110575,298463,He tried to kill himself.,He tried to commit suicide. ♪ He tried to commit suicide. ♪ He tried to commit suicide.,He tried to kill himself.,He tried to kill himself.,He tried to kill himself.
110579,298467,He committed suicide.,He committed suicide.,He killed himself.,He committed suicide.,He killed himself.
111763,299788,He is eating.,He eats. He eats.,He's eating. He's eating. He's eating.,He's eating.,He's eating.
111790,299819,Is he sleeping?,Is he asleep?,Is he sleeping?,Is he sleeping? Is he sleeping?,Is he asleep?
111946,299984,He told the truth.,He was telling the truth.,He told the truth. He told the truth. He told the truth.,He told the truth.,He told the truth.
113611,301814,He's talking on the telephone.,He's on the phone. He's on the phone.,He's talking on the phone.,She's on the phone. She's on the phone.,He's talking on the phone.
114148,302395,He is not stupid.,He's not stupid. He's not stupid.,He's not stupid. He's not stupid. He's not stupid. He's not stupid. He's not stupid.,He's not stupid.,He's not stupid.
114157,302406,Is he tall?,Is he tall?,Is it tall?,Is he tall? Is he tall?,Is he tall?
114194,302443,He is a friendly person.,He's a friendly man.,He's a nice person.,He's a friend.,He's a friendly person.
115351,303714,He likes adventure.,He likes adventure.,He likes adventure. He likes adventure.,He likes adventure.,He likes adventure.
115573,303959,He is asleep.,He's asleep.,He's asleep.,He's sleeping.,He's sleeping.
115912,304339,He's an excellent brain surgeon.,He's a great neurosurgeon.,He's an excellent neurosurgeon.,He's an excellent neurosurgeon.,He's a great neurosurgeon.
116868,305382,They are actors.,They're actors.,They're actors. They're actors.,They're actors.,They're actors.
116995,305514,They don't always obey their parents.,They don't always listen to their parents.,They don't always obey their parents.,They do not always obey their parents.,They don't always obey their parents.
117401,305951,They hated Tom.,They hated Tom.,They hated Tom. They hated Tom. They hated Tom.,They hated Tom.,They hated Tom.
118204,306813,They went to Chicago by car.,They drove to Chicago.,They went to Chicago by car. They went by car to Chicago. They went to Chicago by car.,They drove to Chicago. They drove to Chicago.,They drove to Chicago.
118642,307284,Are they Japanese?,Are they Japanese?,Are they Japanese? Are they Japanese? Are they Japanese? Are they Japanese? Are they Japanese? Are they Japanese?,Are they Japanese?,Are they Japanese?
119825,308580,She opened the door.,She opened the door.,She opened the door.,He opened the door.,She opened the door.
121111,309976,She tried.,She tried. ♪ She tried. ♪ She tried. ♪ She tried.,She tried it. She tried it.,He tried.,She tried.
121341,310214,She is eight.,She's eight.,She's eight years old.,She's eight years old.,She's eight.
121613,310506,When was she born?,When was she born?,When was she born?,When was he born?,When was she born?
122819,311795,She is very intelligent.,She's very smart. She's very smart.,She's very smart.,He's very smart.,She is very intelligent.
122851,311828,She loves Tom.,She loves Tom.,She loves Tom. She loves Tom.,She loves Tom.,She loves Tom.
122914,311898,She smiled.,She smiled. She smiled.,She smiled.,She smiled.,She smiled.
123110,312110,She can speak French.,She speaks French. She can speak French.,She can speak French. She can speak French. She can speak French.,She can speak French. She can speak French.,She can speak French.
123125,312125,Does she speak French?,Does she speak French?,Does she speak French? Does she speak French?,Does he speak French?,Does she speak French?
123168,312168,She is my girlfriend.,She's my girlfriend.,She's my girlfriend. She's my friend. She's my friend. She's my girlfriend.,She's my girlfriend.,She's my girlfriend.
123555,312575,She worked hard.,She worked hard. She worked hard.,She worked hard.,He worked hard.,She worked hard.
123811,312850,She went home.,She went home. ♪ She went home.,She went home.,He went home.,She went home.
124038,313091,She almost drowned.,She almost drowned.,She almost drowned.,He almost drowned.,She almost drowned.
124133,313193,She cried.,She screamed. ♪ She cried.,She cried.,She cried.,She cried.
124299,313373,Does she know you?,Does she know you? Does she know you? Does she know you?,Does she know you?,Does he know about you?,Does she know you?
125133,314287,She sat next to me.,She sat next to me. ♪ She sat next to me.,She sat near me. She sat next to me.,He sat next to me.,She sat next to me.
126464,315731,Who is she?,Who is she?,Who is she?,Who is he?,Who is she?
126944,316246,She married him.,She married him.,She married him. He married him.,She married him.,She married him.
127156,316478,She wanted to help them.,She wanted to help them. She wanted to help them.,She wanted to help you.,He wanted to help them.,She wanted to help them.
127208,316540,She looks sad.,She looks sad. ♪ She looks sad. ♪ She looks sad. ♪ She looks sad. ♪ She looks sad. ♪ She looks sad.,She looks sad. She looks sad.,He looks sad.,She looks sad.
127209,316541,She looked sad.,She looked sad. ♪ She was kind of sad.,She looked sad. She looked sad.,She looked sad. ▪ She looked sad.,She looked sad.
127559,316925,She walks.,She's walking.,She walks. She walks. She walks.,He walks.,She walks.
128303,317756,Don't be sad.,Don't be sad. Don't be sad.,Don't be sad.,Don't worry.,Don't be sad.
128371,317830,Are you tired?,Are you tired? Are you tired? Are you tired? Are you tired? Are you tired?,Are you tired? Are you tired? Are you tired?,Are you tired? Are you tired? Are you tired?,Are you tired?
130313,319990,I know.,I know. I know. I know. I know.,I know. I know. I know. I know. I know.,I know.,I know.
130613,320329,That's weird.,That's weird.,That's weird. That's weird.,That's weird. That's weird.,That's weird.
130674,320395,Study!,Learn. Learn! Learn!,Study.  Study.  Study!  Study!,Work!,Learn.
131189,320948,I'm breast-feeding my baby.,I breast-feed my child. ♪ I breast-feed my child.,I'm nursing my baby.,I'm breastfeeding my baby.,I'm breast-feeding my baby.
131519,321324,It's not my fault.,It's not my fault.,It's not my fault. It's not my fault.,It's not my fault. It's not my fault.,It's not my fault.
131613,321441,Tell me the truth.,Tell me the truth. Tell me the truth. Tell me the truth.,Tell me the truth. Tell me the truth. Tell me the truth. Tell me the truth. Tell me the truth. Tell me the truth.,Tell me the truth.,Tell me the truth.
131614,321442,Leave it to me.,Leave it to me. ♪ Put it on me. ♪ Leave it to me. ♪ Leave it to me. ♪ Give it to me. ♪ Give it to me.,Leave it to me.,Leave him to me.,Leave it to me.
131654,321497,Do you love me?,Do you love me? ♪ Do you love me? ♪ Do you love me? ♪ Do you love me? ♪ Do you love me?,Do you love me? Do you love me? Do you like me?,Do you love me?,Do you love me?
131743,321599,I have three cameras.,I have three cameras.,I have three cameras.,I have three cameras.,I have three cameras.
131805,321673,I'm so happy.,I'm so happy. ♪ I'm so happy.,I'm so happy. I'm so happy.,I'm so happy.,I'm so happy.
131829,321700,I have to go now.,I have to go now. ♪ I have to go. ♪ I have to go now. ♪ I have to go now. ♪ I have to go now.,I have to go now. I have to go now. I have to go now.,I have to go now.,I have to leave now.
131945,321846,I have a dictionary.,I have a dictionary.,I have a dictionary. I have a dictionary. I have a dictionary.,I have a dictionary. I have a dictionary.,I have a dictionary.
131948,321849,I have two cars.,I have two cars.,I have two cars. I have two cars.,I have two cars.,I have two cars.
131954,321857,I looked around me.,I looked around. I looked around. I looked around. I looked around.,I looked around. I looked around. I looked around. I looked around.,I looked around. I looked around.,I looked around.
131964,321870,I want to sleep.,I want to sleep. ♪ I want to sleep. ♪ I want to sleep. ♪ I want to sleep.,I want to sleep.,I want to sleep.,I'm sleepy.
132036,321954,I have a cold.,I'm cold. I'm cold. I'm cold.,I'm cold. I'm cold. I'm cold. I'm cold.,I have a cold. I have a cold.,I have a cold.
132064,321985,"Me, too.",Me too. Me too. Me too.,"Me, too. Me too.","Me, too.","Me, too."
132082,322004,When can we eat?,♪ When can we eat? ♪ When can we eat?,When can we eat?,When can we eat?,When can we eat?
132232,322178,Many thanks.,Thank you very much. Thank you very much.,Thank you very much!,"Thank you very, very much.",Thank you very much.
132630,322631,Fill it up.,Full tank.,Fill it up.,Fill it full.,Fill it up.
132811,322841,Is it free?,Is that free?,Is it free?,Is that free?,Is it free?
133456,323576,Wood burns.,The tree's on fire.,The wood burns.,Wood burns.,Wood burns.
133584,323728,My eyes are sore.,My eyes hurt. My eyes hurt.,My eyes hurt. My eyes are sore.,My eyes hurt.,My eyes hurt.
133619,323770,Keep your eyes open.,Don't close your eyes.,Keep your eyes open.,Keep your eyes open.,Don't close your eyes.
133631,323789,Don't shut your eyes.,Don't close your eyes. Don't close your eyes.,Do not close your eyes. Do not close your eyes. Do not close your eyes. Do not close your eyes.,Don't close your eyes.,Don't close your eyes.
134223,324442,Ghosts exist.,Ghosts exist.,Ghosts exist.,There are ghosts.,Ghosts exist.
134290,324520,Let's play.,Let's play. Let's play. Let's play. Let's play.,Let's play.,Let's play a game.,Let's play.
