,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
52742,71256,Are you students?,Are you students?,Are you guys students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you disciples?,Are you students?,Are you students?,Are you a student?,Are you students?
53190,71751,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.
53489,72055,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He seems suspicious.,That's the smell.,He looks suspicious.,He looks suspicious.,He looks suspicious.,That sounds suspicious.,He looks suspicious.
53510,72076,Now I remember.,Now I remember.,Now I remember.,Now I remember.,Now I remember.,Now I remember.,Now I remember.,Now I remember.,"Oh, I remember.",Now I remember.,Now I remember.,Now I remember.,I remember now.,Now I remember.
54778,73398,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a pretty good time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.
54812,73434,It's ten o'clock sharp.,It's 10 o'clock.,It's exactly 10:00.,It's exactly ten o'clock.,It's just ten o'clock.,It's exactly ten o'clock.,Ten o'clock sharp.,It's ten o'clock.,It's ten o'clock sharp.,It's ten o'clock.,It's exactly ten o'clock.,It's ten o'clock.,It's ten o'clock.,It's ten o'clock sharp.
55379,138919,Welcome.,Welcome.,Welcome!,Welcome!,Welcome!,Welcome!,Welcome!,Welcome!,Welcome!,Hello.,Welcome!,Welcome.,Welcome!,Welcome!
55509,237639,You speak fluent English.,You speak English fluently.,You speak fluent English.,You speak fluent English.,You speak English fluently.,You speak fluent English.,You speak fluent English.,You speak English fluently.,You speak fluent English.,You speak fluent English.,You speak English fluently.,You speak English fluently.,You speak fluent English.,You speak fluent English.
55555,237692,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.,I'll make you happy.
55560,237698,I believe in you.,I believe you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in your power.,I believe you.,I believe in you.,I believe in you.,I believe you.,I believe in you.
56637,238862,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,It's Monday.,Today is Monday.
57023,239285,Can you find it?,Can you find it?,Can you find it?,Can you find it?,Can you find her?,Can you look for it?,Can you find it?,Can you find him?,Can you find it?,Can you find it?,Can you find him?,Can you find him?,Can you find him?,Can you find him?
57151,239431,Good luck.,Good luck.,Good luck.,Good luck.,Good luck!,Good luck.,Success.,Good luck.,Take care.,Good luck.,Good luck!,Good luck.,Good luck.,Good luck.
57294,239578,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?,Where do you live now?
57582,239892,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?,Is he breathing?
57834,240166,Look back!,Look back!,Look behind you!,Remember!,Look back!,Look back!,Behind you!,Look in the back!,Look behind you.,Look back!,Look back!,Look back!,Look behind you!,Look behind you!
57839,240171,Shadow him.,Follow him.,Follow him.,Follow him.,Give it to me!,Follow him.,Shadow him.,Foot him.,Follow me.,Follow him.,Keep an eye on him.,Follow him.,Watch him.,Imitate him.
58614,241077,Let's go!,Let's go.,Let's go!,Let's go!,Let's go!,Let's go!,Come on!,Let's go!,I'll go.,Let's go!,Come on.,Come on.,Let's go!,Come on!
58720,241200,I give up.,I give up.,I give up.,I'm giving up.,I'm giving up.,I give up.,I give up.,I give up.,I surrender.,I give up.,I give up.,I give up.,I give up.,I yield.
59166,241675,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.,I'm on a diet.
60039,242641,That's enough for today.,That's it for today.,That's enough for today.,That's enough for today.,Enough for today.,That's enough for today.,That's enough for today.,That's enough for today.,It's over for today.,That's enough for today.,That's enough for today.,That's enough for today.,That's enough for today.,That's enough for today.
60111,242732,It is very cold today.,It's super cold today.,It's freezing today.,It's really cold today.,It's very cold today.,It's very cold today.,It's very cold today.,It's very cold today.,It's very cold today.,It's very cold today.,It's very cold today.,It's so cold today.,It's very cold today.,It's very cold today.
60183,242809,It's cold today.,It's cold today.,Today it's cold.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.,It's cold today.
60207,242836,It is Monday today.,It's Monday.,Today is Monday.,It's Monday.,Today is Monday.,It's Monday.,It's Monday.,It's Monday today.,Today is Monday.,Today's Monday.,It's Monday.,Today is Monday.,It's Monday.,Today is Monday.
60247,242881,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.,It's hot today.
60906,243599,Sugar dissolves in water.,Sugar is soluble in water.,Sugar dissolves in water.,The sugar dissolves in water.,Sugar melts in water.,Sugar dissolves in water.,Sugar melts in water.,Sugar dissolves in water.,Sugar melts into water.,Sugar dissolves in water.,Sugar is dissolved in water.,The sugar dissolves in water.,Sugar dissolves in water.,Sugar dissolves in water.
61013,243711,The worst is over.,The worst is over.,The worst is over.,The worst is over.,The worst is over.,The worst we've done.,The worst is over.,The worst is over.,The worst is already over.,The worst is over.,The worst is over.,The worst is over.,The worst is over.,The worst is over.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,It was my party yesterday.,Yesterday was my birthday.,Yesterday is my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you at work?,Are you working?,Are you working?,Are you working?,Are you working?,Are you working?,Are you working?,Are you working?,Are you working?,Do you work?,Are you working?,Are you working?,Are you working?
62605,245454,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for work.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.,I'm looking for a job.
62830,245694,Some children are playing on the grass.,Some kids play on the grass.,Some kids are playing on the grass.,A few kids play on the lawn.,A few kids are playing on the grass.,A couple of kids are playing on the meadow.,Some kids are playing on the grass.,Some kids are playing on the grass.,The children are playing on the grass.,The kids are playing on the grass.,Some kids play grass.,Some kids are playing in the grass.,Some kids are playing on the grass.,Some children play on the grass.
63020,245897,Children need loving.,Kids need love.,Kids need love.,Kids need love.,Children need love.,Children need love.,Kids need love.,Children need to be loved.,Children need to be loved by others.,Kids need love.,Children need love.,Children need love.,Children need to be loved.,Children need love.
63402,246314,"Stop, or I'll shoot.","Stop, or I'll shoot.","Halt, or I'll shoot.",Stop or I'll shoot.,Don't move or I'll shoot.,Stop or I'll shoot.,"Stop, or I'll shoot!",Stop or I'll shoot.,"If you don't stop, I'll shoot you.",Stop or I'll shoot.,"Wait, I'm gonna shoot.",Stop or I'll shoot.,"Stop, or I'll shoot.","Stop, I'll shoot."
64414,247442,Welcome to our home.,Welcome to our home.,Welcome to us.,Welcome to our home.,Welcome to our house.,Welcome to our home!,Welcome to our home.,Welcome to our house.,Welcome to our house.,Welcome to our home!,Welcome to our home.,Welcome to our home.,Welcome to our home.,Welcome to our home.
64711,247763,We try.,Let's try it.,We're trying.,We're trying.,We're trying.,We're trying.,We're trying.,We'll try.,We try.,We're trying.,We're trying.,We tried.,We'll try.,We try.
64879,247937,We played soccer yesterday.,We played football yesterday.,We played soccer last night.,We played football last night.,We played football yesterday.,We played football yesterday.,We played soccer yesterday.,We played soccer yesterday.,We played soccer yesterday.,We played soccer last night.,We played football yesterday.,We played football yesterday.,We played football yesterday.,We played football yesterday.
65001,248069,We painted the house green.,We paint the house green.,We painted the house green.,We painted the house green.,We painted the house in green.,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house with green paint.,We painted the house green.,We painted the house green.,We painted the house green.
66839,250101,Please tell me your name.,Please tell me your name.,Please tell me your name.,What's your name?,"Please, can you give me your name?",Please give me your name.,Please tell me your name.,Please tell me your name.,Please tell me your name.,"May I have your dignity, sir?",Please tell me your name.,Please tell me your name.,Please tell me your name.,Tell me your name.
66866,250135,Follow me.,"Come with me, please.",Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.
67038,250327,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Remember me?,Do you remember me?,Do you remember who I am?,Do you remember me?,Do you remember me?,Remember me?,Do you remember me?,Remember me?,Do you remember me?,Do you remember me?
67322,250648,My legs still hurt.,My leg still hurts.,My legs still hurt.,My legs are still sore.,My legs always hurt.,My legs still hurt.,My feet still hurt.,My legs still hurt.,My leg still hurts.,My leg still hurts.,My legs still hurt.,My legs still hurt.,My legs still hurt.,My legs still hurt.
67352,250680,He is my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.,He's my brother.
67647,251010,My watch has been stolen.,My watch was stolen.,My watch was stolen.,My watch has been stolen.,My watch was stolen.,My watch was stolen.,My watch was stolen.,My watch was stolen.,My watch was stolen.,My watch was stolen.,My watch was stolen.,My watch has been stolen.,My watch was stolen.,My watch has been stolen.
67692,251060,Answer me.,Answer me.,Answer me.,Answer me.,Answer me.,Answer me.,Answer me.,Answer me.,Answer my question.,Answer me.,Answer me.,Answer me.,Answer me.,Answer me.
68451,251884,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's Sperry?,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's my book?,Where's my book?
68790,252254,I played soccer yesterday.,I played football yesterday.,Yesterday I played soccer.,I played football last night.,I played football yesterday.,I played football yesterday.,Yesterday I played soccer.,I played soccer yesterday.,I played soccer yesterday.,I played soccer last night.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.
68808,252272,I have a car.,I have a car.,I have a car.,I have a car.,I got a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.
68816,252280,I like castles.,I like castles.,I like castles.,I like castles.,I like castles.,I like locks.,I love castles.,I like castles.,I like castles.,I like locks.,I like locks.,I like castles.,I like castles.,I like castles.
68823,252287,I am a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.,I'm a student.
69304,252832,I do not understand you.,I don't understand you.,I don't understand.,I don't understand you.,I don't understand you.,I don't understand you.,I don't understand you.,I don't understand you.,I don't know what you're talking about.,I don't understand you.,I don't understand you.,I don't understand you.,I don't understand you.,I don't understand you.
69426,252983,I don't drink much wine.,I don't drink much.,I don't drink much wine.,I don't drink much wine.,I don't drink much wine.,I don't drink much wine.,I don't drink much wine.,I don't drink much wine.,I don't drink too much wine.,I don't drink much wine.,I don't drink a lot of wine.,I don't drink much wine.,I don't drink much wine.,I don't drink a lot of wine.
69502,253071,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have friends in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.
70203,253848,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don't know how to spell this word.,I don't know how to spell the word.,I don't know how to spell this word.,I don't know how to spell that word.,I don't know how to spell the word.,I don't know how to spell that word.,I don't know how to spell the word.,I don't know how to spell that word.,I don't know how to spell that word.,I don't know how to spell that word.,I don't know how to spell the word.,I don't know how to spell the word.,I don't know how to write that word.
71093,254847,I'm glad to hear that.,I'm happy to hear that.,That's what I like to hear.,I'm glad to hear that.,I'm glad to hear that.,I'm glad to hear that.,Glad to hear it.,Okay.,I'm happy for you.,I'm glad to hear it.,I'm glad to hear it.,I'm glad to hear it.,I'm glad to hear it.,I'm glad to hear it.
71253,255034,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I love chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I like chocolate.
71273,255055,I hid under the table.,I hid under the table.,I've been hiding under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.,I hid under the table.
71297,255080,I like tennis.,I like tennis.,I like tennis.,I like tennis.,I like tennis.,I like tennis.,I love tennis.,I like tennis.,I like tennis.,I like tennis.,I like tennis.,I like tennis.,I love tennis.,I like tennis.
71529,255340,I'd like to live in New York.,I want to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I want to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I'd like to live in New York.,I want to live in New York.,I'd like to live in New York.
71804,255644,I'm happy to see you again.,It's good to see you again.,I'm glad to see you again.,It's good to see you again.,I'm glad to see you again.,I'm glad to see you again.,I'm glad to see you again.,It's good to see you again.,I'm glad to see you again.,I'm glad to see you again.,Good to see you again.,It's good to see you again.,I'm happy to see you again.,It's good to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book.,I gave Maria a book.,I gave Mar the book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.
72048,255926,I like to eat apples.,I like apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like eating apples.,I like to eat apples.,I like eating apples.,I like eating apples.,I like eating apples.,I like to eat apples.,I like to eat apples.,I like eating apples.
72156,256043,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.
72280,256178,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.,I can swim.
72329,256236,I study English.,I learn English.,I'm studying English.,I study English.,I'm studying English.,I study English.,I'm learning English.,I study English.,I study English.,I study English.,I'm learning English.,I study English.,I study English.,I'm learning English.
72890,256891,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I like fish.,I love fish.,I like fish.,I like fish.,I like fish.
72970,256982,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.,I'm going to the bank.
73077,257112,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I love your car.,I like your car.
73078,257113,I need your help.,I need your help.,I need your help.,I need your help.,I need you to help me.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.
73156,257204,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.,I'm married.
73213,257266,I have lost my key.,I lost my key.,I lost my key.,I've lost my keys.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost the key.,I lost my key.,I lost my key.,I lost the key.,I lost my key.,I've lost my key.
73281,257340,I'll join you later.,I'll be right back.,I'll join you later.,I'll join you later.,I'll meet you later.,I'll be with you later.,I'll join you later.,I'll catch up with you later.,I'll join you later.,I'll catch up with you later.,I'll join you later.,I'll meet you later.,I'll join you later.,I'll join you later.
73426,257499,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm taking a vacation now.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.,I'm on vacation.
73674,257783,He wrote a letter yesterday.,Yesterday he wrote a letter.,"Yesterday, he wrote a letter.",He wrote a letter yesterday.,"Yesterday, he wrote a letter.",He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.,He wrote a letter yesterday.
73698,257809,I was busy yesterday.,I was busy yesterday.,I was busy last night.,I was busy last night.,I was busy yesterday.,I was busy yesterday.,Yesterday I was busy.,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.,I was busy yesterday.
73707,257819,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I retired last year.,I quit last year.
74284,258457,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.,I wrote a letter.
74510,258713,I laughed.,I laughed.,I laughed.,I laughed.,I laughed.,I laughed.,I was kidding.,I laughed.,I laughed.,I laughed.,I laughed.,I laughed.,I laughed.,I laughed.
74564,258769,I overslept.,I overslept.,I overslept.,I overslept.,I slept too much.,I slept over.,I overslept.,I overslept.,I overslept.,I overslept.,I slept.,I fell asleep.,I fell asleep.,I slept.
74638,258845,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.,I know the truth.
74773,258994,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.,I'm not a student.
74799,259020,I have a new red car.,I have a new red car.,I've got a new red car.,I have a new red car.,I got a new red car.,I've got a new red car.,"I got a new car, red.",I have a new red car.,I have a red new car.,I've got a new red car.,I have a new red car.,I got a new red car.,I have a new red car.,I have a new red car.
74809,259030,I've lost my ticket.,I lost my ticket.,I lost my card.,I've lost my ticket.,I lost my ticket.,I lost my ticket.,I lost my card.,I lost my ticket.,I lost my ticket.,I lost my ticket.,I lost my ticket.,I lost my ticket.,I lost my ticket.,I've lost my ticket.
74823,259045,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.,I was in London last month.
74847,259069,I am a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.,I'm a teacher.
74848,259070,I am not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.,I'm not a teacher.
74945,259190,I run.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I'm running.,I run.,I run.
74984,259233,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.,I'm proud of my son.
75037,259288,I'm healthy.,I'm in good health.,I'm healthy.,I'm healthy.,I'm healthy.,I'm in good health.,I'm healthy.,I'm in good health.,I'm healthy.,I'm healthy.,I'm fine.,I'm healthy.,I'm healthy.,I'm healthy.
75155,259413,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.,I'm afraid of earthquakes.
75470,259747,I love reading books.,I love reading.,I love reading books.,I love reading books.,I love reading books.,I love reading books.,I like to read books.,I love reading books.,I like reading.,I love reading books.,I love reading books.,I like reading books.,I like reading books.,I like reading books.
75593,259880,I do not have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.,I don't have a cat.
76817,261221,I love her.,I love her.,I love her.,I love her.,I love him.,I love her.,I love her.,I love her.,I'm in love with her.,I love her.,I love her.,I love her.,I love her.,I love her.
77052,261477,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.,I'm poor.
77065,261490,I've never climbed Mt. Fuji.,I've never climbed Mount Fuji before.,I've never climbed Mount Fuji.,I've never climbed Mount Fuji.,I never climbed Mount Fuji.,I've never climbed Fuji before.,I've never climbed Mount Fuji.,I never climbed Mount Fuji.,I've never climbed Mt. Fuji.,I never climbed Mount Fuji.,I never went up to Fujima.,I've never climbed Mount Fuji.,I never climbed Mt.Fuji.,I've never climbed Mt. Fuji.
77275,261721,I'm busy.,I'm busy.,I'm busy.,I'm in a hurry.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.,I'm busy.
77387,261849,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.,I run every day.
77691,262179,I have an egg.,I have an egg.,I have an egg.,I have an egg.,I have an egg.,I have an egg.,I have an egg.,I have an egg.,I have one egg.,I've got an egg.,I have an egg.,I have an egg.,I have an egg.,I have an egg.
77726,262220,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.,I live with my parents.
77743,262240,I like apples.,I love apples.,I like apples.,I like apples.,I like apples.,I like apples.,I like apples.,I like apples.,I like apples.,I like apples.,I love apples.,I like apples.,I like apples.,I like apples.
77810,262315,I broke my arm.,My arm's broken.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.,I broke my arm.
77834,262339,"I think so, too.",That's what I thought.,I agree.,"I think so, too.","I think so, too.","I think so, too.","I think so, too.","I think so, too.","I think so, too.",That's what I think.,"I think so, too.","I think so, too.",That's what I think.,"I think so, too."
77908,262424,Please help me.,Please help me.,Please help me.,Will you help me?,Please help me.,"Help me, please.","Help me, please.","Help me, please.",Please help me.,Please help me.,Please help me.,Please give me a hand.,Please help me.,Please help me.
78717,263406,Poets write poems.,Poets write poems.,Poets write poems.,Poets write poetry.,Poets write poems.,Poets write poems.,Poets write poetry.,The poets write poetry.,Poets write poetry.,Poets write poems.,Poets write poems.,Poets write poems.,Poets write poems.,Poets write poems.
79144,263886,Time flies.,Time flies.,Time flies.,Time flies.,Time's running away.,Time flies.,Time flies.,Time flies.,It's too late.,Time flies.,Time flies.,Time flies.,Time passes quickly.,Time flies.
79970,264824,Respect yourself.,A little self-esteem.,Respect yourself.,Respect yourself.,Respect yourself.,Respect yourself.,Respect yourself.,Respect yourself.,Take care of yourself.,Respect yourself.,Respect yourself.,Respect yourself.,Have some self-respect.,Respect yourself.
80319,265233,What actually happened?,What the hell happened?,"What happened, anyway?",What really happened?,What actually happened?,What actually happened?,What actually happened?,What really happened?,What really happened?,What really happened?,What really happened?,What really happened?,What really happened?,What really happened?
80482,265406,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.,I'd like a car.,I wish I had a car.,I wish I had a car.,I wish I had a car.
80569,265500,Drive carefully.,Drive carefully.,Drive safe.,Please drive carefully.,Drive carefully.,Drive carefully.,Drive safe.,Drive safe.,Be careful driving a car.,Drive carefully.,Drive carefully.,Drive safely.,Drive safe.,Drive carefully.
80570,265501,Do you know how to drive a car?,Do you know how to drive?,Can you drive?,Do you know how to drive a car?,Do you know how to drive a car?,Can you drive?,Can you drive a car?,Can you drive a car?,Do you know how to drive a car?,Can you drive a car?,Do you know how to drive?,Do you know how to drive?,Do you know how to drive?,Do you know how to drive a car?
81054,266051,Can I help?,Can I help you?,Can I help?,Can I help you?,Can I help?,Can I help you?,Can I help?,Can I help?,Can I help you?,Can I help you?,Can I help you?,Can I help?,Can I help you?,Can I help you?
81063,266065,Help me.,Give me a hand.,Help me.,Help me.,Help me.,Help me.,Help!,Help me.,Help me.,Help me.,Help me.,Help me.,Help me.,Help me.
81369,266400,Practice makes perfect.,Acupuncture can be a coincidence.,Practice makes perfect.,Practice makes you a champion.,Practice leads to perfection.,Exercise makes the master.,Practice makes perfect.,Practice makes perfect.,Practice is the master's way.,Practice makes master.,Practice is the way to perfection.,Practice makes perfection.,Practice makes perfect.,Practice is the way to perfection.
81701,266790,Get out!,Get out of here!,Get out of here!,Get out of here!,Get out!,Get out!,Get out!,Get out!,Get out!,Get out!,Get out!,Get out!,Get out!,Get out!
82881,268087,Get down!,Get down!,Get down!,Get down!,Get off of me!,Down!,Get off!,Come down!,Get down on the ground!,Get down!,Get down on the floor!,Get down!,Slow down!,Get down!
83562,268828,Unbelievable!,Unbelievable!,Unbelievable!,Unbelievable!,Unbelievable!,I can't believe it!,Unbelievable!,Unbelievable!,I can't believe it!,Unbelievable!,It's incredible!,That's amazing!,I can't believe it!,Unbelievable!
84767,270147,Are you kidding?,Are you kidding me?,Are you crazy?,Is this some kind of joke?,Are you kidding me?,You're kidding!,Are you kidding?,Are you kidding?,You've got to be kidding me!,Are you kidding me?,Are you kidding me?,Are you kidding me?,Are you kidding me?,Are you kidding me?
