,index,english,translated_from_chinese
233097,1660856,Tom is taking a shower.,Tom's in the shower.
236777,1722133,Relax.,Relax.
237610,1730009,Call home!,Call home!
237953,1738962,Stop reading.,Don't read it again.
242693,1802121,Speak!,"Say it, say it, say it, say it!"
242828,1804273,Look!,Look!
243443,1815066,Keep reading.,Keep looking.
245105,1830623,Horses eat grass.,Horses eat grass.
245942,1841177,Hurry home.,Go home now.
245945,1841180,Release him.,Let him go.
245953,1841188,Wait here.,Wait here.
246160,1841588,See you later.,Bye.
247598,1860499,Don't die.,Don't die.
248927,1868480,Ignore Tom.,Don't mind Tom.
249534,1876041,Thank you.,Thank you.
250870,1886145,Did you kill Tom?,Did you kill Tom?
252009,1887384,I have to go.,I should go.
253023,1891110,I'm ready.,I'm ready.
253352,1893706,We understand.,We understand.
255544,1913083,How beautiful!,It's beautiful!
255547,1913086,How lovely!,How cute!
255548,1913087,Keep it.,Keep it.
255550,1913089,Take it.,Take it.
255553,1913092,How strange!,That's weird.
255648,1916313,Call us.,Contact us.
255649,1916314,Be nice.,And a little bit of gas.
255980,1924560,I'm old.,I'm old.
258643,1954263,Ask Tom.,Go ask Tom.
258645,1954265,Be still.,"Quiet, don't move."
260956,1972633,Get Tom.,Find Tom.
260962,1972639,Grab Tom.,Grab Tom.
260972,1972649,Show me.,Let me see.
262588,2005179,Tom lied.,Tom lied.
262589,2005180,Tom lost.,Tom lost.
262590,2005181,Tom moved.,Tom moved home.
262592,2005183,Tom quit.,Tom quit.
262593,2005184,Tom smiled.,Tom laughed.
262594,2005185,Tom waved.,Tom waved.
262595,2005186,Tom yawned.,Tom's yawning.
262596,2005187,Who died?,Who's dead?
262597,2005188,Tom died.,Tom died.
262599,2005190,Who won?,Who won?
262600,2005191,Tom won.,Tom won.
262601,2005192,I won!,I won.
263575,2007928,Let's start.,Let's get started.
272344,2057650,Thanks.,Thank you.
273911,2079905,Mars has two moons.,Mars has two satellites.
274083,2083030,Who?,Who?
275599,2107594,Tom's sick.,Tom's sick.
275672,2107667,We overslept.,We overslept.
275762,2111159,Tom laughed.,Tom laughed.
275773,2111170,Tom graduated.,Tom graduated.
275796,2111193,Tom clapped.,Tom clapping.
275966,2111364,They refused.,They refused.
275969,2111367,They lied.,They lied.
276076,2111475,Tell Tom.,Tell Tom.
276084,2111483,Take mine.,Take mine.
276098,2111497,Stop lying.,Don't be ridiculous!
276208,2111608,Look closely.,Look closely.
276325,2111725,I'm home.,I'm at home.
276394,2111796,I see.,I see.
276430,2111832,Get dressed.,You're wearing something.
278550,2163151,The book is on the table.,Books on the table.
281462,2203346,I'm shy.,I'm shy.
281721,2203607,Who came?,Who's here?
284852,2233709,This is mine.,It's mine.
289331,2244966,Are you sleeping?,Did you sleep?
290072,2245875,I have cancer.,I have cancer.
290098,2245901,I have time.,I have time.
290250,2246291,We surrender.,We surrender.
290587,2247573,I will go.,I'm leaving.
295187,2258234,Good morning.,Good morning!
309577,2346862,This is my computer.,This is my computer.
320300,2412739,I have two cats.,I have two cats.
321617,2439040,I don't want to work under these conditions.,I do not want to work under these conditions.
326155,2499505,Where is the hotel?,Where's the hotel?
344918,2635485,I have a red bicycle.,I have a red bike.
355479,2654806,Do you have a dictionary?,Do you have a dictionary?
383445,2900859,Cats are smart.,Cats are smart.
470851,3663249,There are islands in the sea.,"There's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands, there's islands."
490066,3738521,Are they brothers?,Are they brothers?
500071,3825001,I don't want to eat.,I don't want to eat.
501589,3826551,Where are we?,Where are we?
545600,4373509,Probably.,About.
563303,4606511,Where?,Where?
604326,5308161,Turtles don't have teeth.,Oogway has no teeth.
