,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
81701,266790,Get out!,Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out! Get out!,Get out of here!,"Get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out, get out!",Get out!
82881,268087,Get down!,Get down! Get down! Get down! Get down! Get down! Get down! Get down! Get down! Get down! Get down! Get down!,Get down!,"Get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way, get out of the way!","Down, down, down, down, down, down, down, down!"
83562,268828,Unbelievable!,Unbelievable! Unbelievable! Unbelievable!,Unbelievable!,Unbelievable!!!!!I can't believe it!!!It's incredible!!!!It's amazing!!!!It's amazing!!!!It's incredible.!!Unbelievable!!!!It's not possible!!!Not true!!!!Inconceivable!!,I can't believe it! I can't believe it! I can't believe it!
84767,270147,Are you kidding?,Are you kidding me?,Is this some kind of joke?,Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?! Are you kidding?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Are you kidding? Are you kidding?
86352,271901,Try hard.,Do your best.,Try hard.? Try hard.,Make an effort.,Try it right!
86481,272043,Keep quiet.,Stay still.,Keep your mouth shut.,Stay calm...Stay still...Stay still...Stay still!..Stay still..,Stay calm.
87954,273621,See above.,See above.,Look above!,See above.,See above.
88018,273694,Everything went smoothly.,Everything went smoothly. Everything went smoothly.,Everything went smoothly.,"It all went smoothly, and everything went smoothly.",Everything went smoothly. Everything went smoothly. Everything went smoothly across the stage.
88107,273786,I have no idea.,I have no idea.,I have no idea.,I don't have a clue.: I have no idea.: I have no idea.: I have no idea.,I don't know. I don't know. I don't know.
88478,274210,Open the window.,Open the window!,Open the window.,"Open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window, open the window.",Open the window. Open the window! Open the window.
88496,274237,Close the window.,Close the window.,Close the window. - Close the window. - Close the window.,"Close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window, close the window!",Close the window. - Close the window! - Close the window.
89422,275276,I am exhausted.,I'm exhausted.,I'm exhausted. I'm exhausted.,"I'm exhausted, I'm exhausted, I'm tired, I'm tired, I'm sick, I'm tired, I'm tired, I'm tired.",I'm tired. I'm exhausted. I'm broken.
89857,275743,Are you all right?,Are you okay?,Are you all right? • Are you all right? • Is everything all right? • Is everything all right?,Are you all right?What's up?What's up?What's up?What's up?What's up?What's up?,Are you all right? Are you all right? Are you all right?
90203,276105,Is anybody here?,Anybody here?,Is anyone here?,Is anyone there?,Anybody here?
90204,276106,Is somebody there?,Is anyone there?,Is someone out there?,Is anyone there?,Is anyone there? Is anyone there? Is someone there?
90373,276298,Is anybody home?,Anybody home?,Anybody home?,Is anyone there?: Is anyone there?: Is there anyone in the house?,Anybody home?
90434,276369,Who knows?,Who knows? Who knows? Who knows? Who knows?,Who knows?,Who knows?,Who knows?
90652,276629,No one helped me.,No one helped me.,No one helped me.,"No one helped me, no one helped me.",No one helped me. No one helped me.
90948,276955,It's too expensive.,It's too expensive. It's too expensive. That's too expensive!,"It's too expensive, it's too expensive, it's too expensive, it's too expensive, it's too expensive, it's too expensive, it's too expensive!","It's too expensive, it's too expensive.",It's too expensive.
90985,276998,Ignorance is bliss.,"What doesn't know, what doesn't hurt, what the eye doesn't see, doesn't hurt the heart.",Knowledge adds pain.. Ignorance is bliss.,Ignorance is bliss.,What I don't know doesn't make me hot. Ignorance is bliss. Ignorance is happiness.
91027,277046,Knowledge is power.,Knowledge is power.,Knowledge is power.,Knowledge is a power; knowledge is power.Knowledge is power.Knowledge is power.,Knowledge is power. - Knowledge is power!
91406,277466,Let me in.,Let me in.,Let me in.,"Let me in, let me in, let me in, let me in.",Let me in.
91640,277720,Stop talking.,"Stop talking. ""Shut up!"" Stop talking.",Stop talking.,Stop talking.,Be quiet. Be quiet. Be quiet. Be quiet. Be quiet!
91688,277773,Breakfast is ready.,Breakfast is ready. Breakfast is ready.,Breakfast is ready.,Breakfast is ready.,Breakfast is ready. 的 Breakfast is prepared.
92046,278174,Birds sing.,Birds sing.,Birds sing.,The birds are singing.,Birds sing.
92080,278213,Birds fly.,Birds fly.,Birds fly.,The birds are flying.,Birds fly.
92087,278220,Birds lay eggs.,Birds lay eggs.,The birds lay eggs.,Birds lay eggs.,The birds lay eggs. 的 Birds lay eggs.
92373,278535,It's my brother's.,It's my brother's.,It's my brother.,It's my brother's.,It belongs to my brother. It belongs to my brother. It belongs to my brother.
92441,278606,Don't give up!,Don't give up!,Don't let go!,Don't give up!,Don't give it up. Don't give up.
92944,279153,Turn off the light.,Turn off the light. Turn off the light.,Turn off the lights.? Turn off the lights.,Turn off the light!,Turn off the lights!
93063,279284,Answer the phone.,Pick up the phone.,Pick up the phone.,Answer the phone!: Answer the phone.,Answer the phone!
93811,280125,My head aches.,I have a headache.,My head is sore.,My head hurts.,I have headaches. I have headaches.
93842,280162,Cool off!,Go cool off!,Calm down!,Calm down!,Calm down!
94051,280393,Are you lost?,Are you lost?,Are you lost?,Are you lost?: Are you lost?: Are you lost?: Are you lost?: are you lost?: are you lost?: are you lost?: are you lost?: are you lost?: are you lost?: are you lost?,Did they get lost? Did you get lost? Did you get lost? Did you get lost? Did you get lost?
94219,280576,Are you single?,Are you single? Are you single?,Are you single?. Are you single?,Are you alone?,Are you a bachelor?
94881,281301,Have you decided to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?,Have you decided to go to Japan?
95165,281606,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.,Japan is a rich country.
95175,281616,Welcome to Japan.,Welcome to Japan.,Welcome to Japan.,Welcome to Japan.,Welcome to Japan.
95690,282197,Years passed.,Years passed.,"Years passed, years passed, years passed, years passed.",Years have passed.,Years passed.
95715,282225,I am eighteen years old.,I'm 18 years old.,I'm eighteen years old.,I'm 18 years old.,I am 18 years old. I am eighteen years old. I am 18.
95938,282462,My back still hurts.,My back still hurts.,My back still hurts.,My back still hurts.,My back still hurts. My back still hurts. I still have back pain.
96815,283413,Guess what he told me.,Guess what he told me.,You know what he said to me?,Guess what he told me.,"Guess what he told me, guess what he told me, guess what he told me."
97008,283629,I like him.,I like him.,I like him. I like him.,I like it..I like it..I love it.,I like him.
98404,285184,Grab him.,Get him!,Get him.,Grab him... get him... put his hand on him!,Grab him!
99624,286516,Forget him.,Forget him.,Forget him!,Forget about him.,Forget about him.
100128,287067,He has long legs.,He's got long legs.,He's got long legs.,He's got long legs.,He has long legs.
101076,288121,He has a dog.,He's got a dog.,He's got a dog. He's got a dog.,He's got a dog.,He's got a dog.
101119,288166,He tries.,He's trying.,He's trying.,He's trying.,He's trying.
101596,288669,He is a DJ.,He's a DJ.,He's a DJ.,He's a DJ.,He's a DJ. He's a DJ.
101885,288982,How old is he?,How old is he?,How old is he?,How old is he?,How old is he?
102029,289132,He is always with me.,He's always with me.,He's always with me.,He's still with me.,He's always with me. He's always by my side.
102666,289812,He doesn't like coffee.,He doesn't like coffee.,He doesn't like coffee.,He doesn't like coffee.,He doesn't like coffee.
102873,290025,He likes playing soccer.,He likes soccer.,He likes to play football.,He likes to play football.,He likes to play football.
103154,290321,He accelerated.,He speeded up.,He accelerated.,He's accelerated.,He's speeded up.
104354,291622,He eats a lot.,He eats a lot.,He eats a lot.,He eats a lot.,He eats a lot.
104393,291665,He decided to quit smoking.,"He decided to quit smoking, and he decided to quit smoking.",He decided to quit smoking.,He decided to quit smoking.,"He decided to quit smoking, and he decided to quit smoking."
104582,291872,He played tennis.,He played tennis.,He played tennis.,He played tennis.,He played tennis.
104778,292088,He's very ill.,He's very sick.,He's really sick.,"He's very sick, he's very sick.",He's very sick.
105129,292468,He became a pianist.,He became a pianist.,He became a pianist.,He became a pianist; he became a pianist.,He became a pianist.
105267,292619,He can also speak French.,He also speaks French.,He also speaks French.,He also speaks French.He also speaks French.He also speaks French.He also speaks French.,He also speaks French.
106651,294141,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife.,"He was afraid of his wife, and he feared his wife.",He was afraid of his wife.
107427,294993,He knows a lot of people.,He knows a lot of people.,He knows a lot of people.,"He knows a lot of people, he knows a lot of people.",He knows a lot of people.
107699,295297,He's strong.,He's strong.,He's strong.,"He's strong, he's powerful.",He's strong.
107748,295346,He is a teacher.,He's a teacher.,He's a teacher.,He's a teacher.,He's a teacher.
107795,295395,He fell backward.,He fell backwards.,He fell back.,"He fell backwards, he fell backwards.",He fell backwards to the ground.
108019,295648,He's stronger than you.,He's stronger than you.,He's stronger than you.,"He's stronger than you, he's stronger than you.",He is stronger than you. He is stronger than you. He is stronger than you.
108606,296292,He works in a factory.,He works in a factory.,He works in a factory.. He works in a factory.,He works in a factory.,He works in a factory.
108608,296294,He is happy.,He's happy.,She's happy.,He's happy.,He's happy.
109160,296902,He died yesterday.,He died yesterday.,He died yesterday.,"He passed away yesterday, and he clamed yesterday, and he canned yesterday.He died yesterday.He died yesterday.",He died yesterday. He was scratched yesterday. He died yesterday. He died yesterday.
109766,297564,He lied to me.,He lied to me.,He lied to me.,He lied to me.,He lied to me.
110193,298043,He speaks English better than I do.,He speaks English better than I do.,He speaks English better than I do.,"He speaks better English than I do, and he speaks better English than I do.",He speaks English better than I do. He speaks English better than I do.
110575,298463,He tried to kill himself.,He tried to kill himself.,He tried to kill himself.,He tried to kill himself.,He tried to kill himself. He tried to commit suicide. He tried to kill himself.
110579,298467,He committed suicide.,He killed himself.,He committed suicide.,He killed himself.,He committed suicide.
111763,299788,He is eating.,He's eating.,He's eating. He's eating right now.,He's eating.,He eats. He eats.
111790,299819,Is he sleeping?,Is he asleep?,Is he asleep?,Is he sleeping?''Does he sleep?''Does he sleep?''Does he sleep?',Is he asleep?
111946,299984,He told the truth.,He told the truth.,He told me the truth.,"He's telling the truth, he's telling the truth, he's telling the truth.",He was telling the truth. He was telling the truth.
113611,301814,He's talking on the telephone.,He's on the phone.,He's on the phone.,He's talking on the phone.,He's on the phone.
114148,302395,He is not stupid.,He's not crazy.,He's not stupid.,He's not an idiot.,He's not stupid.
114157,302406,Is he tall?,Is he tall?,Is he tall?,Is he tall?,Is he tall?
114194,302443,He is a friendly person.,He's a nice person.,He's a kind person.,She's a nice person.,He's a friendly person.
115351,303714,He likes adventure.,He likes adventure.,He likes adventure.,He likes adventure.,He loves the adventure.
115573,303959,He is asleep.,He's asleep.,He's asleep.,He's asleep.,He's asleep.
115912,304339,He's an excellent brain surgeon.,He's an excellent brain surgeon.,He's an excellent brain surgeon.,He's an excellent brain surgeon.,He's a great brain surgeon.
116868,305382,They are actors.,They're actors.,They're actors.,They're actors.,They're actors.
116995,305514,They don't always obey their parents.,They don't always obey their parents.,They don't always obey their parents.,They don't always obey their parents.,They don't always obey their parents. They don't always obey their parents. They don't always obey their parents.
117401,305951,They hated Tom.,They hated Tom.,They hated Tom.,They hated Tom.,You hated Tom. You didn't like Tom.
118204,306813,They went to Chicago by car.,They took the car to Chicago.,They went to Chicago in a car.,They drove to Chicago.,They were driving to Chicago by car. They were driving to Chicago by car.
118642,307284,Are they Japanese?,Are they Japanese?,Are they Japanese?,Are they Japanese?,Are they Japanese?
119825,308580,She opened the door.,She opened the door. She opened the door. She opened the door.,He opened the door.,"She opened the door, she opened the door.",She opened the door. She opened the door.
121111,309976,She tried.,"She tried, she tried, she tried.",He tried.,She tried.,She tried.
121341,310214,She is eight.,She's eight years old.,She's eight years old.,She's eight years old.,She's eight.
121613,310506,When was she born?,When was she born?,When was he born?,When was she born?,When was she born? When was she born?
122819,311795,She is very intelligent.,She's very intelligent.,He's really smart.,"She's really smart, she's very smart.",She's very intelligent.
122851,311828,She loves Tom.,She loves Tom.,He loves Tom.,"She's in love with Tom, and she loves Tom.",She loves Tom.
122914,311898,She smiled.,She laughed.,She smiled.,She smiled.,She smiled. She smiled.
123110,312110,She can speak French.,She can speak French.,He can speak French.,She can speak French.,She speaks French. She can speak French. She can speak French.
123125,312125,Does she speak French?,Does she speak French?,Does he speak French?,Does she speak French?,Does she speak French?
123168,312168,She is my girlfriend.,She's my friend.,She's my girlfriend.,"She's my girlfriend, she's my girlfriend.",She's my friend.
123555,312575,She worked hard.,She worked hard.,He worked hard.,"She worked hard, she worked hard.",She worked hard.
123811,312850,She went home.,She went home.,He went home.,She went home.,She went home. She went home.
124038,313091,She almost drowned.,She almost drowned.,He almost drowned.,She almost drowned.,"She almost drowned, and she was about to drown."
124133,313193,She cried.,She was crying.,He was crying.,She was crying.,She cried.
124299,313373,Does she know you?,Does she know you?,Does he know you?,Does she know you?,Does she know you? Does she know you? Does she know you?
125133,314287,She sat next to me.,She was sitting next to me.,He sat next to me.,She sat next to me; she sat next to me; she sat next to me; she sat next to me; she sat next to me.,She sat next to me. She sat next to me.
126464,315731,Who is she?,Who is she?,Who is he?,Who is she?,Who is she?
126944,316246,She married him.,She married him.,She married him.,"She married him, and she married him.",She married him. She married him.
127156,316478,She wanted to help them.,She wanted to help them.,He wanted to help them.,She tried to help them.,She wanted to help them.
127208,316540,She looks sad.,She looks sad.,He looks sad.,She seems sad.,She looks sad.
127209,316541,She looked sad.,She looked sad.,He looked sad.,She looked sad.,She looked sad.
127559,316925,She walks.,She's walking.,"He's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking, he's walking.",It's working.,She's leaving. She's walking.
128303,317756,Don't be sad.,Don't be sad.,Don't worry.,"Don't be unhappy, don't be sad, don't be upset.",Don't be sad.
128371,317830,Are you tired?,Are you tired? Are you tired? Are you tired? Are you exhausted? Are you exhausted?,Are you tired?,Are you tired?! Are you tired?! Are you tired?! Are you tired?! Are you tired?! Are you tired?! Are you tired?!,Are you tired? Are you tired? Are you tired?
130313,319990,I know.,I know.,I know. I know.,I know.,I know.
130613,320329,That's weird.,That's weird.,"Well, that's strange.",That's weird.,That's weird.
130674,320395,Study!,Study!,Study!,Study!: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study.: Study..: Study.: Study.: Study.: Study.: Study.: Study.: Study...Study..: Study..Study.: Study...Study.: Study....Study.: Study....Stu.: Study.....Study........Study...,Learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn! learn!
131189,320948,I'm breast-feeding my baby.,I'm breast-feeding my baby.,I'm breast-feeding my baby.,"I feed my baby on the breasts, and I give the breast to my baby.",I'm breastfeeding my baby.
131519,321324,It's not my fault.,It's not my fault!,It's not my fault.,"It's not my fault, it's not my fault!",It's not my fault. It's not my fault. It's not my fault.
131613,321441,Tell me the truth.,Tell me the truth.,Tell me the truth.. Tell me the truth.,"Tell me the truth, tell me the truth.",Tell me the truth. Tell me the truth. Tell me the truth. Tell me the truth!
131614,321442,Leave it to me.,Leave that to me.,Leave it to me.. I'll take care of it!,Let me take care of it.,Let me take care of it. Leave it to me. Leave it to me. Leave it to me. Leave it to me. Leave it to me.
131654,321497,Do you love me?,Do you love me?,Do you love me? Do you love me? Do you love me? Do you love me? Do you love me? Do you love me?,Do you love me?: Do you love me?: Do you love me?: Do you love me?: Do you love me?: Do you love me?: Do you love me?: Do you love me?,Do you love me? Do you love me? Do you love me?
131743,321599,I have three cameras.,I have three cameras.,I have three cameras.,I have three cameras.,I have three cameras.
131805,321673,I'm so happy.,I'm so happy.,I'm so happy.,"I'm so happy, I'm so happy, I'm so happy, I'm so happy, I'm so happy.",I'm so happy.
131829,321700,I have to go now.,I have to go now.,I have to go now.,"I've got to go now, I've got to go now.",I have to go now. I have to go now. I have to go now.
131945,321846,I have a dictionary.,I have a dictionary.,I have a dictionary.,"I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary, I have a dictionary.",I have a dictionary. I own a dictionary.
131948,321849,I have two cars.,I've got two cars.,I have two cars.,I have two cars.,I have two cars.
131954,321857,I looked around me.,I looked around. I looked around.,I looked around.,"I looked around me, and I looked around me.",I looked around.
131964,321870,I want to sleep.,I want to sleep.,I want to sleep.,I want to sleep.,I want to sleep. I want to sleep.
132036,321954,I have a cold.,I've got a cold.,I have a cold.,"I've got a cold, I'm cold, I'm cold, I'm cold.",I'm cold. I have a cold. I suffer from a cold. I have a cold.
132064,321985,"Me, too.",So am I. So am I!,So do I.,Me too.,"Me, too."
132082,322004,When can we eat?,When can we eat?,When can we eat?,When can we eat?,When can we eat?
132232,322178,Many thanks.,Thank you very much. Thank you very much. Thank you very much.,Thank you so much!. Thank you so much.,Thank you very much!!!!Thank you very much.!Thank you very much.!Thank you very much.!Thank you so much!,Thank you very much!
132630,322631,Fill it up.,Fill it up.,"Fill up the tank, please!",Filled up.,Fill up.
132811,322841,Is it free?,Is it free?,Is it free?. Does it cost anything?,Is that free?,Is it free?
133456,323576,Wood burns.,Wood burns.,The tree's burning.,Wood burns.,Wood burns.
133584,323728,My eyes are sore.,My eyes hurt.,"My eyes are sore, my eyes are sore, my eyes are sore, my eyes are sore.","My eyes hurt me, my eyes hurt, my eyes hurt, my eyes hurt, my eyes hurt, my eyes hurt, my eyes hurt.",My eyes are sore. My eyes are sore. My eyes are sore.
133619,323770,Keep your eyes open.,Keep your eyes open. Keep your eyes open.,Keep your eyes open.,Keep your eyes open.,Keep your eyes open.
133631,323789,Don't shut your eyes.,Don't close your eyes.,Don't close your eyes.,"Don't close your eyes, don't close your eyes!",Do not close your eyes. Do not close your eyes! Do not close your eyes.
134223,324442,Ghosts exist.,Ghosts exist.,"There are ghosts, there are ghosts, there are ghosts.",Ghosts exist.,Ghosts exist.
134290,324520,Let's play.,Let's play.,"Let's play, let's play, let's play, let's play, let's play, let's play, let's play.",Let's play.,Let's play.
134514,324760,Don't eat too much.,Don't eat too much.,Don't eat too much.,"Don't eat too much, don't eat too much, don't eat too much.",Don't eat too much. Do not eat too much. Do not eat too much.
134619,324880,The leaves fell.,The leaves fell.,Those leaves fell.. The leaves fell.,"The leaves fell down, and the leaves fell down.",The leaves have fallen.
134720,324997,Please come.,Please come.,Please come.,"Come, please. - Please, come. - Come, please. - Please, come.","Come on, please. Come on, please."
135109,325429,Stand up!,Get up!,"Get up, get up, get up, get up, get up, get up, get up, get up.",Get up!,Get up! Get up! Get up! Get up! Get up! Get up! Get up!
135175,325503,The dragon is an imaginary creature.,The dragon is a fantasy animal.,The dragon is an imaginary creature.,The dragon is an imaginary creature.,The dragon is a fantasy being.
135200,325529,Do you like to travel?,Do you like traveling?,Do you like to travel? Do you like to travel?,Do you like to travel?: Do you like to travel?,Do you like to travel? Do you like to travel? Do you like to travel? Do you like to travel?
135422,325769,The food is cold.,The food is cold.,The food's cold.,The food is cold.,The food is cold.
135739,326126,History repeats itself.,History repeats itself.,History repeats itself.,History repeats itself.,History repeats itself. The story repeats itself.
137296,327777,I bought a red tie.,"I bought a red tie, and I bought a red tie.",I bought a red tie.,I bought a red tie.,I bought a red tie. I bought a red tie. I bought a red tie. I bought a red tie. I bought a red tie.
138103,328604,Fuck you!,"Fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you!","Fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you!","Fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you, fuck you!","Fuck you, fuck you, fuck you, fuck you!"
139102,329612,Which country are you from?,What country are you from?,What country are you from?,Which country do you come from?What country do you come from?,Where are you from?
139173,329684,This newspaper is free.,This paper's free.,This magazine is free of charge.,This newspaper is free of charge.,This newspaper is free of charge. This newspaper is free of charge. This newspaper is free of charge.
139202,329713,Good morning!,Good morning!,Good morning!,Hello!,Good morning!
139323,333156,Good evening.,Good evening.,Good evening.,Good evening!,Good evening!
139329,335138,I am Chinese.,I'm Chinese.,I'm Chinese. I'm Chinese.,I'm Chinese.,I'm Chinese. I'm Chinese.
139401,341634,I have many friends.,I have a lot of friends.,I have a lot of friends.,I have a lot of friends.,I have a lot of friends.
139413,347331,Who is he?,Who is he?,Who is he?,Who is he?,Who is he?
139463,348091,Come in.,"Come in, come in!","Come on in, come in, come in.","Come in, come in, come in, come in, come in.",Come in.
139472,348596,I'm pregnant.,I'm pregnant.,I'm pregnant.,I'm pregnant.,I'm pregnant.
139476,349064,I don't know.,"I don't know, I don't know, I don't know.",I don't know. I don't know. I don't know. I don't know.,I don't know.,I don't know. I don't know. I don't know. I don't know. I don't know.
139564,354379,I like cats.,I like cats.,"I like cats, I like cats, I like cats.","I like cats, I like cats.",I like cats.
139593,355041,"Happy birthday, Muiriel!",Happy birthday Muiriel! Happy birthday Muiriel! Happy birthday Muiriel!,"Happy birthday, Muiriel!","Happy birthday, Muiriel!","Congratulations on your birthday, Muiriel! Congratulations on your birthday, Muiriel!"
139615,356200,Who are you?,Who are you? Who are you? Who are you? Who are you? Who are you?,Who are you?,"Who are you, who are you, who are you? who are you? who are you? who are you? who are you? who are you? who are you? who are you? who are you?",Who are you? Who are you? Who are you?
139643,357919,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","I'd like to add hundreds of phrases to Tatoeba, but I have things to do.","I'd like to write hundreds of sentences for Tatoeba, but I have other things to do.","I wish I could write hundreds of phrases on Tatoeba's website, but I have other things to do.的 I would like to write hundreds of phrases on Tatoeba but I have other things to do.","I'd like to write hundreds of sentences in Tatoeba, but I'm busy."
139655,358152,Nobody is perfect.,Nobody's perfect.,No one's perfect.,"No one is perfect, no one is perfect.","No one's perfect, no one's perfect."
139668,360558,See you later!,See you again!,I'll see you later! @ See you later! @ See you later! @ See you later! @ See you later! @ See you later @,See you later!,See you later!
139676,361350,Happy New Year!,Happy New Year!,Happy New Year!,Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!: Happy New Year!,Happy New Year! ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ to------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
139679,361576,Achoo!,Hatchie!,Azii!,- Atchoum! - Atchoum! - Atchoum!,Hatschi!
139696,362737,I play the violin.,I play violin.,I play the violin.,I'm playing the violin.,I play the violin. I play the violin.
139767,367935,I am a vegetarian.,I'm a vegetarian.,I'm a vegetarian.,"I'm a vegetarian, I'm a vegetarian, I'm a vegetarian.",I'm a vegetarian. I'm a vegetarian.
139815,370580,My wife is a doctor.,My wife's a doctor.,My wife is a doctor.,My wife is a doctor.,My wife is a doctor. My wife is a doctor.
139824,370607,He raised his hand.,He raised his finger.,He raised his hand.,He raised his hand.,He picked up his hand. He pointed up. He raised his hand.
139846,370687,I love Arabic.,I love Arabic.,I love Arabic.,I love Arabic.,I love Arabic.
139848,370703,Where are you from?,Where are you from? Where are you from? Where are you from? Where are you from?,Where are you from?,Where are you from?Where are you from?Where are you from?Where are you from?Where are you from?Where are you from?Where are you from?,Where do you come from? Where do you come from? Where do you come from? Where do you come from? Where do you come from? Where do you come from? Where do you come from? Where do you come from?
139850,370708,Where do you live?,Where do you live? Where do you live? Where do you live? Where do you live?,"Where do you live, where do you live?",Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?Where do you live?,Where do you live? Where do you live? Where do you live? Where do you live?
139910,371410,He is sick.,He's sick.,She's sick.........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,He's sick.,He's sick.
139919,371429,There's a monster under my bed.,There's a monster under my bed.,There's a monster under my bed.,There's a monster under my bed.,There's a monster under my bed. There's a monster under my bed. There's a monster under my bed.
139995,372015,What do you want to eat?,What do you want to eat?,What do you want for food?,What do you want to eat?What do you want to eat?,What do you want to eat? What do you want to eat? What do you want to eat? What do you want to eat?
140020,372352,What is your blood type?,What's your blood type?,What's your blood type?,"What's your blood type, what's your blood type, what's your blood type, what's your blood type, what's your blood type, what's your blood type, what's your blood type, what's your blood type?",What is your type of blood? What is your type of blood? What is your type of blood? What is your type of blood?
140040,372460,Cats don't like water.,Cats don't like water.,Cats don't like water.,Cats don't like water.,Cats don't like water.
140062,373215,Are you serious?,Are you serious?,Are you serious?,- Are you serious? - Are you serious? - Are you serious? - Is that true what you're saying?,Are you serious? Are you serious? Are you serious? Are you serious? Are you serious? Are you serious? Are you serious? Are you serious? Are you serious? Are you serious?
140063,373216,Really?,Really? Really? Is that true? Oh! Really? Really? Really?,Are you serious??,"Really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really?",Really?.. Real?.. Seriously?
140102,373320,How are you?,How are you? How are you? How are you? How are you? How are you? How are you? How are you?,How are you?,"How you doin', how are you?How are you?How are you?How are you?How are you?How are you?",How are you doing? How are you doing? How are you doing? How are you doing? How are you doing?
140104,373330,Hello!,Hello. Hello. Hello. Good morning! Hello!,Hello!. Hello!,Hello!,"Hello, Sers!"
